,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_down < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.83033130208021,16.737138011337404,9.34382712251027,9.335847305059403,9.312987872615908,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,227639.3458873475,19421.016912554496,674.7669039336456,674.7669039336456,674.7669039336456,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25186.20497406605,1608.840504229656,67.53450075848023,59.14487103798157,55.96984668337665,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2191.298635054068,144.06761999333952,10.166316718149261,9.547001796805864,8.941828923041466,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1931.131808967415,118.92492209860481,12.450156239367576,12.32504785458437,12.228335644244478,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3083.0015796011735,508.1027182159989,23.065334331965545,22.920679972704377,22.920679972704377,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,88.48053198635272,19.756052803005886,0.8434079834187398,0.8434079834187398,0.8434079834187398,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,140.00554362745137,72.26357713631249,2.2276818822432936,2.2276818822432936,2.2042493746629503,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,44.70356585564976,24.957466169269498,0.9186862780207695,0.9186862780207695,0.9186862780207695,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,35.69058452384359,19.168240464472092,1.1304834894321116,1.1290873695758439,1.124195725621675,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,70.31656568963695,36.17104993382483,3.027431677138902,3.026149670042132,3.0120069975896526,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.406015930699581,2.065476323984725,0.09403566112589735,0.09403566112589735,0.09343244852664205,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,96.861624471478,30.447133026575464,1.353046370740215,1.2297780455285663,1.1046552972058068,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,30.644011659490253,1.915623043001561,0.2514745259555885,0.22756239361236036,0.2091705472294469,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,22164.0,1154.0,1142.0,1126.0,281391.0
