,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_up < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.029803522689944,1.8831986294362528,0.8926629194811114,0.8908535228398441,0.8837298495150135,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,231573.919667785,212710.3507161103,206096.20657618155,205651.3443085119,204590.47063191602,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,24522.262834036337,22909.437916946077,21810.114560957187,19248.84006343735,17230.203397173722,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2108.2402517799665,1963.554497545984,1853.8982411404952,1676.6820002610782,1521.7777853752475,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,3035.1431185680276,2809.1121307469043,2622.2187181648137,2615.628628246092,2603.6391929872025,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,7983.788729778604,5138.926290009946,4924.960609186132,4914.757471048566,4888.027101018535,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,346.41777294685676,224.6818088138302,214.91780035414106,204.36199250156037,190.8621641058723,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,26.062269567255893,16.222676122438024,15.840713690443884,15.80368541844905,15.615264701405543,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,6.986039924133622,4.22514670483355,4.150733264010123,4.1370340759172874,4.035309160790906,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.312180484151583,5.865657763642378,5.612424479662329,5.604986048137723,5.518794923334392,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,13.142900263094685,8.39350946143442,7.7947331057440685,7.767164696947832,7.6857614625034065,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.7198723375982352,1.1004818203002207,1.0612602629711014,1.0584290933420417,1.0487545949889523,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,56.03061137168788,48.02077591392896,46.17495799755916,40.413803061210665,35.287959597370765,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.053546949941634,28.842076220659504,24.869465151902116,20.213327577532752,16.62135250213235,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,264294.0,250670.0,246997.0,243334.0,287601.0
