,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_down < 170.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,3.943914175213652,2.0926339768259834,1.1693187829250626,1.168160422320557,1.165612763530507,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,231159.79518203458,18913.971294327832,793.8873988820299,793.8873988820299,793.8873988820299,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,24784.33761821273,1625.476355567671,68.06785302669886,62.77747340982032,60.6778662457628,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2109.1032793737068,144.77522264323738,8.726807288375975,7.912555037971381,7.435140951927594,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2935.0326921294936,219.6939585278434,16.742646702666477,16.625911344836062,16.625911344836062,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,8035.569518268772,2860.4608254479845,112.57755459752147,112.57755459752147,112.09495600493767,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,337.36674397130344,123.33968997146884,5.709699363700125,5.4365096925041225,5.4365096925041225,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,24.63120974635935,9.122338089802213,0.2961946743234156,0.2961946743234156,0.2961946743234156,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,6.725329123972649,2.59450872414409,0.08172077226899904,0.08172077226899904,0.08172077226899904,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,10.916148236547834,5.260117620096136,0.13393345196323692,0.13393345196323692,0.13393345196323692,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,12.34717764188445,4.377555657676757,0.3280938082648025,0.3280938082648025,0.3246627489227143,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.6820869744929352,0.5970857848040543,0.017302128497576473,0.017302128497576473,0.017302128497576473,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,56.211169865974696,7.786770172938514,0.3154113149517045,0.2930126768307256,0.2740329610749857,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.26492711356036,3.2317417713503542,0.7844512448198189,0.7646497492039845,0.746536435276068,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,23307.0,1247.0,1233.0,1223.0,287601.0
