,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.62214156623469,16.60771651036233,9.27505020402045,9.26699218837131,9.244456337078999
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,228059.73508050293,19502.815303301588,691.2479433728813,691.2479433728813,691.2479433728813
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25242.377920442603,1618.6933664472986,66.90502167828944,58.917347774382236,55.85706344589176
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2191.623661045486,144.64451504889695,9.35733045769614,8.738015536352743,8.132842662588343
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1942.0974923971976,121.45560530416427,12.567938723060228,12.442830338277018,12.346118127937125
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3131.112687340302,532.6764478176759,24.10391616398424,23.959261804723077,23.959261804723077
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,89.68214185754074,21.30622062227244,0.8434079834187398,0.8434079834187398,0.8434079834187398
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,139.0343204186675,71.6117769542155,2.1906719738064604,2.1906719738064604,2.167239466226118
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,44.36657191523454,24.77598579406567,0.9058721314490135,0.9058721314490135,0.9058721314490135
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,35.387897642378725,19.01936965196997,1.1195789412152481,1.1181828213589804,1.1132911774048118
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,69.68423284834577,35.86463621708445,2.98688129364683,2.9855992865500607,2.974671111154674
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.377332961703537,2.0527238101850727,0.09387284992345288,0.09387284992345288,0.09326963732419757
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,96.6085927637472,30.291623731973797,1.359382742985574,1.2388864113149054,1.1137724364216117
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,30.599748167674534,1.9218154429017742,0.2508093601352765,0.227725299403229,0.21028669596720323
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,281391.0,22164.0,1154.0,1142.0,1126.0
