,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.982213548336777,30.937417472865732,30.93082292095139,4.128767710619074,2.2101333917253774,1.2305029264770782,1.22942276407085,1.226656183072227,,,
QCD,1117757.9198795077,1251971.8257647846,1089263.6015733394,997356.7293659851,930808.8629285059,226553.38104805673,18602.642097617474,733.0291634974155,733.0291634974155,733.0291634974155,,,
TT,114729.520688572,114729.520688572,102488.99259953517,91636.58581004354,88074.61034949859,24548.744550493946,1618.1143438050822,68.8224427057404,63.126984301442235,61.15083218024088,,,
ST,9991.097357360095,9991.097357360095,8813.979477349261,8090.8633238099565,7802.3722044939195,2090.846434704278,143.8685530038687,9.520889469745972,8.706637219341376,8.229223133297586,,,
W+Jets,14710.822213085146,14710.822213085146,13309.997236844787,12289.8028470679,11732.614807501395,2908.838960718498,216.59640008359833,16.367239603459044,16.250504245628633,16.250504245628633,,,
Z+Jets,21597.004857058182,21597.004857058182,19150.920965168283,17725.883886021395,16861.14716378858,7776.179491909119,2754.5710767663304,108.11181050388015,108.11181050388015,107.62921191129637,,,
Diboson,936.1606241609029,936.1606241609029,844.4338248758528,795.8565281877022,761.4684852741487,331.47291454487237,116.48829710537512,5.876525434356078,5.603335763160076,5.603335763160076,,,
ggFHbb,224.56874142701201,224.56874142701201,203.17491515262697,182.51006921333993,172.00538108694283,24.874211806048898,9.45215060557896,0.31354482553592306,0.31354482553592306,0.31354482553592306,,,
VBFHbb,66.27722451912622,66.27722451912622,60.283927123911184,55.48463027564431,53.20421045499424,6.778231117542136,2.699237985381874,0.09224827903124713,0.09224827903124713,0.09224827903124713,,,
ZHbb,63.465766584473805,63.465766584473805,57.226156792374354,54.01226272805952,51.30995660160751,10.946061528511793,5.261183021077047,0.13788333616520165,0.13788333616520165,0.13788333616520165,,,
WHbb,108.86564442012758,108.86564442012758,97.71271985447412,93.29532734761905,88.73211078186525,12.712419219914084,4.6019172470471545,0.3636423559224218,0.3636423559224218,0.3569967995232397,,,
ggZHbb,9.5080271296301,9.5080271296301,8.481146692985588,7.78090427018692,7.479060679939495,1.6746530873549395,0.5904568556448672,0.01671765261806171,0.01671765261806171,0.01671765261806171,,,
ttHbb,312.2634270090423,312.2634270090423,278.0420807441895,247.91306569218486,241.45282290087226,55.69223558904241,7.882772011861858,0.29579373061012154,0.27062309894816267,0.252437743295458,,,
HWW,150.6196638895773,150.6196638895773,134.8178450012991,118.2406663980612,114.8878170701976,31.968256403083025,3.182992733003062,0.770482482341939,0.7464823958375644,0.7291933783322331,,,
Data,1414872.0,1414872.0,,,,287601.0,23307.0,1247.0,1233.0,1223.0,1283242.0,1192162.0,1159898.0
