,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.982213548336777,30.937417472865732,30.93082292095139,4.128767710619074,1.918634318893696,0.9058872341399228,0.9039938499686102,0.8967464616429377,,,
QCD,1117757.9198795077,1251971.8257647846,1089263.6015733394,997356.7293659851,930808.8629285059,226553.38104805673,207950.73895043923,201356.69408057138,200913.74510502184,199908.12119003927,,,
TT,114729.520688572,114729.520688572,102488.99259953517,91636.58581004354,88074.61034949859,24548.744550493946,22930.63020668887,21833.34949353887,19292.771017948657,17273.554869151038,,,
ST,9991.097357360095,9991.097357360095,8813.979477349261,8090.8633238099565,7802.3722044939195,2090.846434704278,1946.9778817004094,1838.6094527873852,1663.705586999444,1508.8897289568033,,,
W+Jets,14710.822213085146,14710.822213085146,13309.997236844787,12289.8028470679,11732.614807501395,2908.838960718498,2692.2425606348997,2511.6107512221615,2505.373936227972,2494.18927974216,,,
Z+Jets,21597.004857058182,21597.004857058182,19150.920965168283,17725.883886021395,16861.14716378858,7776.179491909119,5021.6084151427885,4814.3115194901575,4803.802833541336,4777.887712802529,,,
Diboson,936.1606241609029,936.1606241609029,844.4338248758528,795.8565281877022,761.4684852741487,331.47291454487237,214.9846174394972,205.9854442100255,196.2326470302289,183.54383473583448,,,
ggFHbb,224.56874142701201,224.56874142701201,203.17491515262697,182.51006921333993,172.00538108694283,24.874211806048898,15.42206120046994,14.972099652724278,14.935071380729447,14.759875191305452,,,
VBFHbb,66.27722451912622,66.27722451912622,60.283927123911184,55.48463027564431,53.20421045499424,6.778231117542136,4.078993132160262,4.004579691336834,3.9908805032439982,3.889155588117617,,,
ZHbb,63.465766584473805,63.465766584473805,57.226156792374354,54.01226272805952,51.30995660160751,10.946061528511793,5.684878507434745,5.437123570734583,5.430504990973336,5.346933555043134,,,
WHbb,108.86564442012758,108.86564442012758,97.71271985447412,93.29532734761905,88.73211078186525,12.712419219914084,8.110501972866931,7.524988421773349,7.501593867673373,7.424079369464714,,,
ggZHbb,9.5080271296301,9.5080271296301,8.481146692985588,7.78090427018692,7.479060679939495,1.6746530873549395,1.0841962317100722,1.044637112181334,1.041805942552274,1.0320379939946773,,,
ttHbb,312.2634270090423,312.2634270090423,278.0420807441895,247.91306569218486,241.45282290087226,55.69223558904241,47.80946357718055,45.97948127003817,40.27767520109513,35.128074632860915,,,
HWW,150.6196638895773,150.6196638895773,134.8178450012991,118.2406663980612,114.8878170701976,31.968256403083025,28.785263670079964,24.798916455408726,20.197153817960796,16.590910960347873,,,
Data,1414872.0,1414872.0,,,,287601.0,264294.0,250670.0,246997.0,243334.0,1283242.0,1192162.0,1159898.0
