,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.130453918281259,2.2113179245621235,1.2307420137542218,1.2296618513479936,1.2268952703493703
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,230589.56333447632,18887.37195434776,750.6358775148401,750.6358775148401,750.6358775148401
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,24941.001480146566,1639.2747748165693,69.43370939556199,63.66643619254498,61.539200638478036
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2121.0297454899605,145.5146220654441,9.54687946041875,8.732627210014153,8.255213123970368
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2951.5415648482804,219.55508702874084,16.644937523743266,16.528202165912855,16.528202165912855
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,7897.527789998375,2794.247858887334,109.37015135549987,109.37015135549987,108.88755276291609
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,335.70086955775264,117.49824684048717,6.0152410044008775,5.742051333204875,5.742051333204875
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,25.304606669178984,9.563476194812441,0.31354482553592306,0.31354482553592306,0.31354482553592306
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,6.966199227388761,2.779904149914188,0.09224827903124713,0.09224827903124713,0.09224827903124713
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.102216620991042,5.332885421793421,0.13979920343476882,0.13979920343476882,0.13979920343476882
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,12.920625718243707,4.670991180846684,0.3666867028415864,0.3666867028415864,0.36004114644240437
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.6988280741295014,0.6008426926395402,0.017031778593592915,0.017031778593592915,0.017031778593592915
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,56.52427116253409,7.97471086415497,0.30409159048778694,0.27892095882582807,0.26073560317312333
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.4622849304649,3.226486251001468,0.7810026857902165,0.7570025992858419,0.7387863216031171
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,287601.0,23307.0,1247.0,1233.0,1223.0
