,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_up < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.731464546967267,9.051222128013457,4.264091410806991,4.257145562906971,4.232980005617179,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,228608.11016775502,209108.91375773854,202512.2967290357,202160.0746482938,201215.46354846677,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,24897.88741521815,23299.897065084435,22196.985706171934,18980.137406235146,16957.613042737205,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2170.2735405539643,2025.9021032736,1901.4917485233245,1671.8528470866975,1515.0375918350173,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1947.6747647673592,1825.724165330203,1676.9532762172144,1671.472645323432,1664.5680190964856,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3197.6081077331914,2634.8336392632236,2515.48264428813,2508.569575950487,2488.793436748417,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,93.60944324794934,70.70271443738505,67.4462499131684,63.99012087412153,59.61431837331889,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,138.33295486653788,66.97230967547341,65.32229090696134,65.1987977231766,64.87664972326975,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,44.33878681244627,19.562548944915626,19.00452529105811,18.94851715469489,18.75773926813347,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,35.26473642394792,16.29323080244665,15.369225679460548,15.335009009289148,15.209450784109663,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,69.45233546859095,33.690020908445035,31.062580835707614,30.996251955015072,30.80489972705449,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.3550252057461885,2.3155700729437143,2.216480571192475,2.2088448468257003,2.1893760102804687,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,95.61286314769467,65.48785644003107,62.622151933567054,53.5796828936226,46.28458870894046,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,30.29806031241092,28.371812026094606,25.075233919825422,19.77410635486148,16.22193596035014,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,259227.0,246255.0,241691.0,238089.0,281391.0
