,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_down < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.49922335945852,16.524530450240764,9.228976328702895,9.220918313053753,9.198690709456642,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,226887.01254822282,19482.486488103223,678.5427187768353,678.5427187768353,678.5427187768353,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25597.99097728626,1637.4306085109092,67.52135381625533,59.66442401680053,56.61580224325363,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2211.0078486126336,147.0156703141242,9.98019667759431,9.360881756250912,8.755708882486513,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1931.9821549577646,119.90901746880567,12.751239045946578,12.626130661163371,12.529418450823478,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3064.3351842357233,501.2365456249835,22.987379445876066,22.842725086614898,22.842725086614898,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,85.90429123057962,19.583715229861475,0.5773107124024608,0.5773107124024608,0.5773107124024608,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,139.10959798611026,71.65399781145203,2.1670359793951577,2.1670359793951577,2.1436034718148145,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,44.477756683915324,24.879680572713745,0.9058721314490135,0.9058721314490135,0.9058721314490135,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,35.40136581306956,19.007581936617953,1.1242441738676017,1.122848054011334,1.1179564100571653,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,69.75689639385493,35.89235826802718,2.998500603272643,2.9972185961758737,2.9848818394117567,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.3897456681353475,2.0558366245328465,0.09533066306565956,0.09533066306565956,0.09472745046640425,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,97.41054706443778,30.40119572542733,1.352961717603727,1.2324653859330583,1.110731043549263,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,30.891865272054805,1.9214992213043975,0.24987149010909282,0.2250869997981656,0.2085085355787389,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,22164.0,1154.0,1142.0,1126.0,281391.0
