,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985138028323494,30.94314561631638,30.937494265156612,25.621270845120133,9.013766802292302,4.248440806485098,4.241642753223161,4.217753223218687,,,
QCD,1117757.9198795077,1251971.8257647846,1096823.3648627643,1008913.1976229508,943765.3420225268,227244.23373725262,207822.6175372501,201357.6267936871,200999.42164536775,200058.89188208766,,,
TT,114729.520688572,114729.520688572,102937.09414930944,92452.86171917933,89017.28627421668,25091.939032505674,23482.47665616688,22371.393147700088,19150.006347873856,17113.895234453303,,,
ST,9991.097357360095,9991.097357360095,8851.86333966262,8151.191801239113,7871.797112112172,2175.8454692707396,2033.1716217009553,1908.100352696224,1679.8191748265792,1521.5782548966251,,,
W+Jets,14710.822213085146,14710.822213085146,13383.822143348041,12404.2214760125,11856.154755280988,1933.5359822467904,1812.9529422313033,1663.9302738911183,1658.4566497978494,1651.2472622567122,,,
Z+Jets,21597.004857058182,21597.004857058182,19260.917047394778,17896.968070869505,17052.857097503325,3116.611202329338,2587.479743083348,2469.6107350816465,2463.088320969603,2443.386759416997,,,
Diboson,936.1606241609029,936.1606241609029,848.6277079107374,801.3643305141766,767.1590774624293,89.1579782797057,67.85175765743324,64.59529313321657,61.139164094169715,57.28752517120213,,,
ggFHbb,224.56874142701201,224.56874142701201,204.27784706506026,184.57541758596614,174.39775354059967,138.41146686824572,67.01647687590037,65.43445722313979,65.31096403935506,65.00837313325371,,,
VBFHbb,66.27722451912622,66.27722451912622,60.60652636866841,56.108538560361204,53.862826031283674,44.22897299580667,19.57475678374854,19.025551743037333,18.969543606674115,18.778765720112695,,,
ZHbb,63.465766584473805,63.465766584473805,57.552859435784285,54.51396998506854,51.86244003540488,35.25582487786166,16.304402455081124,15.371885146058208,15.337668475886804,15.212993954058,,,
WHbb,108.86564442012758,108.86564442012758,98.33912618522614,94.15321236548372,89.665518131979,69.40954271828892,33.66577986527665,31.04410317901081,30.973600443622004,30.78068762857021,,,
ggZHbb,9.5080271296301,9.5080271296301,8.524747530801806,7.849186618767565,7.554323751664462,4.360475031798855,2.3170208309799425,2.2178436007469853,2.2102078763802107,2.190762396719491,,,
ttHbb,312.2634270090423,312.2634270090423,279.3762636177432,250.23725573372224,244.08128499551196,96.28150286917858,66.06879123824989,63.177661829936596,54.11220799987377,46.756861310801895,,,
HWW,150.6196638895773,150.6196638895773,135.3341495565584,119.2607765244569,116.02818615709796,30.420629389090333,28.50803984058079,25.207303123974842,19.881875163197076,16.34637035778924,,,
Data,1414872.0,1414872.0,,,,281391.0,259227.0,246255.0,241691.0,238089.0,1283242.0,1192162.0,1159898.0
