,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985687597793724,30.944883291081002,30.939326271577116,25.622636397654933,9.014526986022865,4.249198878546914,4.242337018176938,4.218384816354173,,,
QCD,1117757.9198795077,1251971.8257647846,1099012.7199024037,1010557.3865396243,949392.4030456147,228463.86010320936,208974.54129185536,202415.27302217204,202053.95679121875,201096.90531613922,,,
TT,114729.520688572,114729.520688572,103191.20191184334,92840.08833303611,89611.88510287431,25336.76029897375,23711.349994162938,22588.410575143378,19320.484990531884,17251.134258859278,,,
ST,9991.097357360095,9991.097357360095,8876.562993362075,8184.589479741274,7923.9598540277475,2200.458572408218,2055.6648316682185,1929.3080961792386,1698.7544017681812,1538.5437172245574,,,
W+Jets,14710.822213085146,14710.822213085146,13396.534931934088,12425.23812743614,11916.488443329912,1945.5855408172292,1824.054842334742,1674.5776118767967,1669.134499561993,1661.6715172161107,,,
Z+Jets,21597.004857058182,21597.004857058182,19300.288097552362,17935.77203458006,17145.081573721967,3139.317619335513,2605.0909611604407,2485.8062500607984,2479.1620757119467,2459.4037278413202,,,
Diboson,936.1606241609029,936.1606241609029,850.8501661912385,803.2913693057035,771.9883644407507,89.46010967928677,68.03488199314738,64.77841746893071,61.322288429883855,56.94648592908121,,,
ggFHbb,224.56874142701201,224.56874142701201,204.68202417304877,184.94624192346618,175.29115301868828,139.22235885205146,67.50925259085503,65.92723293809446,65.80373975430973,65.46836722678337,,,
VBFHbb,66.27722451912622,66.27722451912622,60.62062480404775,56.15355779194064,54.04824306677838,44.44710303161108,19.64450552675233,19.071416275614464,19.015408139251246,18.824630252689825,,,
ZHbb,63.465766584473805,63.465766584473805,57.635540215906765,54.55744342646091,52.12111169624213,35.46349579692432,16.40924449554865,15.4741205260074,15.439343338084495,15.314050645220833,,,
WHbb,108.86564442012758,108.86564442012758,98.45557809636797,94.2170323002978,90.11208563154022,69.78098356102647,33.88158362966021,31.246696267436274,31.17517535376415,30.980311229616433,,,
ggZHbb,9.5080271296301,9.5080271296301,8.537972606076476,7.869087631845407,7.59027263606386,4.379927655607294,2.3261777167121007,2.2260689090126964,2.2184331846459213,2.198987704985202,,,
ttHbb,312.2634270090423,312.2634270090423,279.8295542589564,251.04564243275024,245.18197187027914,96.78804887646295,66.45151331716548,63.546081269369274,54.403358790093,46.96777684815633,,,
HWW,150.6196638895773,150.6196638895773,135.6185484608632,119.82393811275331,116.78543137409841,30.71174873330542,28.77531246948329,25.458484848150583,20.064275308725993,16.47554212645288,,,
Data,1414872.0,1414872.0,,,,281391.0,259227.0,246255.0,241691.0,238089.0,1283242.0,1192162.0,1159898.0
