,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_up < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,24.450498169163325,15.848603150039128,8.85216575337917,8.84439543071201,8.823161058232689,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,226841.2085764469,19370.249703289828,685.7317541861493,685.7317541861493,685.7317541861493,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25509.193697060462,1634.8685272381222,67.03797804427397,59.47050866269916,56.693580951802545,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2185.44455204831,145.15734899040243,9.709798768747122,9.090483847403725,8.485310973639322,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1945.7372450923403,121.20848300447935,12.577774955349664,12.577774955349664,12.577774955349664,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3317.302467037624,624.2774677052136,27.091908748883313,26.947254389622145,26.947254389622145,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,98.94982982883849,25.096389341681032,0.5773107124024608,0.5773107124024608,0.5773107124024608,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,131.5905440830673,67.82904907650659,2.0228194447158634,2.0228194447158634,1.9993869371355202,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,42.29355130570434,23.481463517351784,0.8918237286374348,0.8918237286374348,0.8918237286374348,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,33.76958732440864,18.1660803380269,1.0675698957275084,1.0661737758712406,1.061282131917072,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,66.1891786971991,34.07464431974226,2.8805185273846963,2.879236520287927,2.868308344892541,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.192807683871874,1.9594951679860342,0.09017084922432374,0.09017084922432374,0.08956763662506845,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,94.82162776531061,29.194319060720087,1.2802454569715689,1.1778563136552997,1.0606871009855396,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,31.033102521533003,1.9922993474529251,0.28635583819014904,0.25697993476490744,0.240412299022637,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,22164.0,1154.0,1142.0,1126.0,281391.0
