,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.62214156623469,9.014425055872355,4.2491839041377375,4.242322043767762,4.218369841944996
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,228059.73508050293,208556.91977720134,202067.55946051562,201706.24322956233,200743.64147306702
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25242.377920442603,23623.68455399531,22504.461805524843,19256.82183292315,17199.22193730334
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2191.623661045486,2046.9791459965893,1920.781737550893,1690.61086975809,1531.1831682016573
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1942.0974923971976,1820.6418870930336,1671.2377841045443,1665.870050067122,1658.4070677212396
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3131.112687340302,2598.4362395226253,2479.6652806603124,2473.089209675701,2453.330861805074
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,89.68214185754074,68.3759212352683,65.11945671105163,61.66332767200477,57.28752517120213
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,139.0343204186675,67.42254346445202,65.84052381169145,65.71703062790672,65.38165810038036
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,44.36657191523454,19.590586121168872,19.032562467311354,18.976554330948137,18.785776444386716
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,35.387897642378725,16.368527990408758,15.436285386851061,15.402068716679661,15.278366093901464
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,69.68423284834577,33.81959663126131,31.189100747812432,31.118598012423632,30.92458592726431
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.377332961703537,2.324609151518465,2.2255638026372844,2.2179280782705093,2.19848259860979
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,96.6085927637472,66.31696903177341,63.41724523640463,54.29925621702953,46.89938406089107
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,30.599748167674534,28.67793272477276,25.364186721920714,19.996882253365847,16.410249783803852
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,281391.0,259227.0,246255.0,241691.0,238089.0
