,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_up < 170.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,5.168664398303899,2.8976375559797583,1.612442581268458,1.6110747258802474,1.6070066660686355,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,229424.58551678882,18876.234004510927,752.5792793170306,752.5792793170306,752.5792793170306,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25202.858032499502,1703.9578715889725,73.17622108579658,67.12110496401324,64.57605342805576,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2164.1848573610955,151.9173226618237,8.81436190215644,8.000109651751842,7.5992360423276555,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,3044.013169507731,226.6413563770654,16.23452931770948,15.992685575095862,15.895973364755967,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,7410.823931025379,2580.3641662685122,102.55719213209467,102.55719213209467,102.16503649280057,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,320.03771823427275,110.94362474367702,6.55338766344192,6.55338766344192,6.55338766344192,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,31.706360420876667,13.029551379539967,0.5039772009732992,0.5039772009732992,0.5039772009732992,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.734535586244533,3.956045730482409,0.1062966818428259,0.1062966818428259,0.1062966818428259,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,12.263208320027324,5.904702198381234,0.1869799877497795,0.1869799877497795,0.1869799877497795,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,16.047487026888447,6.244016949933371,0.4573381574145585,0.4573381574145585,0.45069260101537656,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.8199983704449247,0.6634301536057035,0.020250181177038706,0.020250181177038706,0.020250181177038706,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,58.4177961425039,9.039660181542047,0.3784416568843662,0.3341216600174688,0.30799154214123026,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.51089202035839,3.1115303910179515,0.7112102746165938,0.6935433455792667,0.676301968827274,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,23307.0,1247.0,1233.0,1223.0,287601.0
