,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98766887037498,30.94950193397809,30.94456120213139,25.62611368967695,16.609162270580498,9.275278533506876,9.267220517857732,9.244684666565421,,,
QCD,1117757.9198795077,1251971.8257647846,1105549.59370053,1021329.7516689496,960667.4731143379,231159.11724965143,19781.410440599102,697.2078112520189,697.2078112520189,697.2078112520189,,,
TT,114729.520688572,114729.520688572,103599.74745728384,93619.3003460447,90459.03080824536,25645.903414049557,1644.904953302806,67.7444719213396,59.53706122347785,56.47677689498738,,,
ST,9991.097357360095,9991.097357360095,8912.732392153413,8241.245864575521,7984.7180717082765,2218.861636593547,146.0736264903096,9.570497899838708,8.95118297849531,8.346010104730912,,,
W+Jets,14710.822213085146,14710.822213085146,13457.618013566465,12524.789518194004,12021.64481310384,1962.436818029444,122.22027159438962,12.664454761385155,12.539346376601948,12.442634166262053,,,
Z+Jets,21597.004857058182,21597.004857058182,19400.58851275338,18095.476586413675,17312.991950153075,3169.8842339729126,538.8832750208114,24.355305505720416,24.210651146459252,24.210651146459252,,,
Diboson,936.1606241609029,936.1606241609029,854.0576235376294,808.9537912480199,777.1374693034588,90.3049802463241,21.42522768613939,0.8434079834187398,0.8434079834187398,0.8434079834187398,,,
ggFHbb,224.56874142701201,224.56874142701201,205.7732416903081,186.84217323885284,177.35265561665736,140.76422008105453,72.62443625038372,2.1906719738064604,2.1906719738064604,2.167239466226118,,,
VBFHbb,66.27722451912622,66.27722451912622,60.98406856544045,56.74996505823215,54.675112016044,44.86449065740618,25.0169947969685,0.9058721314490135,0.9058721314490135,0.9058721314490135,,,
ZHbb,63.465766584473805,63.465766584473805,57.940243991699205,55.02203318462641,52.61910730778478,35.78114910575833,19.21602667623509,1.1290598836909806,1.127663763834713,1.1227721198805443,,,
WHbb,108.86564442012758,108.86564442012758,98.98339434176201,94.9793552018583,90.88833922234261,70.36966632434572,36.17182677085144,3.013753108810655,3.012471101713886,3.0015429263185,,,
ggZHbb,9.5080271296301,9.5080271296301,8.57626932635681,7.9288841785111615,7.653663143159653,4.42094556686998,2.0721076898657103,0.09505401231523222,0.09505401231523222,0.09445079971597693,,,
ttHbb,312.2634270090423,312.2634270090423,281.02384923469947,253.23244305144075,247.58797473486015,97.95830159094584,30.703534414488352,1.376889840958746,1.2563935092880771,1.1300624232404706,,,
HWW,150.6196638895773,150.6196638895773,136.159076295388,120.83599124728971,117.84837269088797,31.062948357976047,1.9535800452624215,0.2582882115770394,0.23520415084499197,0.21776554740896614,,,
Data,1414872.0,1414872.0,,,,281391.0,22164.0,1154.0,1142.0,1126.0,1283242.0,1192162.0,1159898.0
