,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.982213548336777,30.937417472865732,30.93082292095139,25.616541447207563,9.010696857147629,4.245955998914728,4.2391579456527895,4.215268415648317,,,
QCD,1117757.9198795077,1251971.8257647846,1089263.6015733394,997356.7293659851,930808.8629285059,224348.4078706551,205184.92837729407,198765.75234335128,198415.7443755419,197506.26126491762,,,
TT,114729.520688572,114729.520688572,102488.99259953517,91636.58581004354,88074.61034949859,24741.03068212078,23153.810994890693,22056.032327600497,18873.832188764336,16872.092685262138,,,
ST,9991.097357360095,9991.097357360095,8813.979477349261,8090.8633238099565,7802.3722044939195,2155.456665914394,2014.0983844738653,1889.1203128986967,1663.3101508214024,1507.241452016262,,,
W+Jets,14710.822213085146,14710.822213085146,13309.997236844787,12289.8028470679,11732.614807501395,1913.5787505106114,1794.2773225077788,1646.5723780737485,1641.2046440363265,1633.995256495189,,,
Z+Jets,21597.004857058182,21597.004857058182,19150.920965168283,17725.883886021395,16861.14716378858,3079.95568902758,2556.3109778239436,2439.2488806915912,2432.766493144797,2413.2886821085417,,,
Diboson,936.1606241609029,936.1606241609029,844.4338248758528,795.8565281877022,761.4684852741487,87.97695511850034,67.26219344460489,64.00572892038822,60.549599881341365,56.173797380538716,,,
ggFHbb,224.56874142701201,224.56874142701201,203.17491515262697,182.51006921333993,172.00538108694283,136.58546921188824,66.08614052195905,64.51535844495282,64.3918652611681,64.10133673363156,,,
VBFHbb,66.27722451912622,66.27722451912622,60.283927123911184,55.48463027564431,53.20421045499424,43.8148712531164,19.374980455181515,18.835353957545813,18.779345821182595,18.588567934621175,,,
ZHbb,63.465766584473805,63.465766584473805,57.226156792374354,54.01226272805952,51.30995660160751,34.892033434463485,16.142817721979895,15.221803962417349,15.187587292245947,15.067412608407654,,,
WHbb,108.86564442012758,108.86564442012758,97.71271985447412,93.29532734761905,88.73211078186525,68.71166839632097,33.30350515722772,30.701157865326095,30.629655227276544,30.437616329994853,,,
ggZHbb,9.5080271296301,9.5080271296301,8.481146692985588,7.78090427018692,7.479060679939495,4.309751974171635,2.2896642550671573,2.1922382702248604,2.1846025458580858,2.165789976425589,,,
ttHbb,312.2634270090423,312.2634270090423,278.0420807441895,247.91306569218486,241.45282290087226,95.04448351054783,65.1539499647542,62.30944953191665,53.35061261040509,46.13550872977698,,,
HWW,150.6196638895773,150.6196638895773,134.8178450012991,118.2406663980612,114.8878170701976,30.052452802537214,28.157623545068034,24.894084484775636,19.61000709601096,16.121983155889634,,,
Data,1414872.0,1414872.0,,,,281391.0,259227.0,246255.0,241691.0,238089.0,1283242.0,1192162.0,1159898.0
