,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_up < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,5.168664398303899,2.271026842324141,1.077961388391344,1.0765502173501882,1.0691693975990597,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,229424.58551678882,210548.3515122779,203947.2240011412,203493.0020592581,202542.7833127278,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25202.858032499502,23498.900160910533,22375.90671762184,19800.643933983632,17712.46125579953,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2164.1848573610955,2012.2675346992717,1900.550596856266,1723.2076941459086,1560.797236912209,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,3044.013169507731,2817.371813130666,2627.6779309694957,2620.891896649637,2609.077159578809,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,7410.823931025379,4830.459764756866,4628.025318327404,4617.731217120618,4592.120471364292,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,320.03771823427275,209.0940934905957,200.02214067788626,189.06410730323267,176.98117459757276,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,31.706360420876667,18.676809041336696,18.20519263275424,18.151478570562364,17.978482233895786,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.734535586244533,4.778489855762124,4.672463398091295,4.6590490556943776,4.59786758960903,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,12.263208320027324,6.358506121646091,6.045492666376789,6.03607409271924,5.953806644924125,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,16.047487026888447,9.803470076955076,9.106316381159813,9.079019585729379,8.987778372014278,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.8199983704449247,1.1565682168392215,1.1131801347596486,1.110865423613943,1.101539541800333,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,58.4177961425039,49.378135960961856,47.511217754964306,41.45425653673624,36.08543119258546,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.51089202035839,29.399361629340444,25.378308179267812,20.68565818258049,16.98442242837035,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,264294.0,250670.0,246997.0,243334.0,287601.0
