,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98766887037498,30.94950193397809,30.94456120213139,4.131521840755688,1.9200481875124868,0.9070936686649451,0.9052002844936327,0.897863255701776,,,
QCD,1117757.9198795077,1251971.8257647846,1105549.59370053,1021329.7516689496,960667.4731143379,233687.67139149265,214573.60418514386,207791.35401879938,207339.52777407726,206243.83251992924,,,
TT,114729.520688572,114729.520688572,103599.74745728384,93619.3003460447,90459.03080824536,25268.417569792415,23607.966143086298,22481.5787233411,19860.46712789196,17759.2360079403,,,
ST,9991.097357360095,9991.097357360095,8912.732392153413,8241.245864575521,7984.7180717082765,2146.8295525687045,2000.7356466190333,1889.5588895901926,1707.5904570836556,1547.7036801644522,,,
W+Jets,14710.822213085146,14710.822213085146,13457.618013566465,12524.789518194004,12021.64481310384,2984.6027730712703,2762.7109536780376,2578.4013057471957,2571.393623746765,2559.9406188770686,,,
Z+Jets,21597.004857058182,21597.004857058182,19400.58851275338,18095.476586413675,17312.991950153075,7991.211716286815,5165.399658825035,4952.078099528248,4941.338321786521,4914.54248367486,,,
Diboson,936.1606241609029,936.1606241609029,854.0576235376294,808.9537912480199,777.1374693034588,338.4666615478934,220.35877218563718,210.82831835651177,200.5217471393272,187.63661730671885,,,
ggFHbb,224.56874142701201,224.56874142701201,205.7732416903081,186.84217323885284,177.35265561665736,25.630298921103,15.951019238568103,15.501057690822442,15.464029418827609,15.275668949656307,,,
VBFHbb,66.27722451912622,66.27722451912622,60.98406856544045,56.74996505823215,54.675112016044,7.071867312872139,4.256651633685292,4.17364518076203,4.1599459926691935,4.058221077542814,,,
ZHbb,63.465766584473805,63.465766584473805,57.940243991699205,55.02203318462641,52.61910730778478,11.238967725061794,5.854496425692489,5.598865870370298,5.591614427550089,5.506344559433455,,,
WHbb,108.86564442012758,108.86564442012758,98.98339434176201,94.9793552018583,90.88833922234261,13.05502247875954,8.33756962140955,7.733976396025406,7.71058184192543,7.628626993146385,,,
ggZHbb,9.5080271296301,9.5080271296301,8.57626932635681,7.9288841785111615,7.653663143159653,1.718285465805932,1.1091248283986457,1.0688873736639377,1.0660562040348778,1.0560361652468988,,,
ttHbb,312.2634270090423,312.2634270090423,281.02384923469947,253.23244305144075,247.58797473486015,57.23714061233672,49.16606791931544,47.27240725988693,41.39442569130438,36.04852147039321,,,
HWW,150.6196638895773,150.6196638895773,136.159076295388,120.83599124728971,117.84837269088797,32.859798184599995,29.58903633177569,25.53214234031943,20.772638196838287,17.052037462773804,,,
Data,1414872.0,1414872.0,,,,287601.0,264294.0,250670.0,246997.0,243334.0,1283242.0,1192162.0,1159898.0
