,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985687597793724,30.944883291081002,30.939326271577116,4.130361988104318,2.211184809028822,1.2307420137542218,1.2296618513479936,1.2268952703493703,,,
QCD,1117757.9198795077,1251971.8257647846,1099012.7199024037,1010557.3865396243,949392.4030456147,230866.64364289754,18917.093823142335,750.6358775148401,750.6358775148401,750.6358775148401,,,
TT,114729.520688572,114729.520688572,103191.20191184334,92840.08833303611,89611.88510287431,25008.790495172005,1643.1315363319277,69.5589758538035,63.72020486351458,61.59296930944764,,,
ST,9991.097357360095,9991.097357360095,8876.562993362075,8184.589479741274,7923.9598540277475,2124.6470231156277,145.53754471198323,9.520889469745972,8.706637219341376,8.229223133297586,,,
W+Jets,14710.822213085146,14710.822213085146,13396.534931934088,12425.23812743614,11916.488443329912,2959.18049534505,220.3863328837717,16.91567443368983,16.798939075859415,16.798939075859415,,,
Z+Jets,21597.004857058182,21597.004857058182,19300.288097552362,17935.77203458006,17145.081573721967,7915.600353990742,2800.7039494527485,109.65492570097209,109.65492570097209,109.17232710838829,,,
Diboson,936.1606241609029,936.1606241609029,850.8501661912385,803.2913693057035,771.9883644407507,336.68703162765814,117.62919145523273,6.0152410044008775,5.742051333204875,5.742051333204875,,,
ggFHbb,224.56874142701201,224.56874142701201,204.68202417304877,184.94624192346618,175.29115301868828,25.35423512907178,9.589840998961012,0.31354482553592306,0.31354482553592306,0.31354482553592306,,,
VBFHbb,66.27722451912622,66.27722451912622,60.62062480404775,56.15355779194064,54.04824306677838,6.922090221446357,2.7654476528428615,0.09224827903124713,0.09224827903124713,0.09224827903124713,,,
ZHbb,63.465766584473805,63.465766584473805,57.635540215906765,54.55744342646091,52.12111169624213,11.1151755742774,5.3353946629432984,0.14026874683249932,0.14026874683249932,0.14026874683249932,,,
WHbb,108.86564442012758,108.86564442012758,98.45557809636797,94.2170323002978,90.11208563154022,12.93186162422822,4.673531568329014,0.3724962169445495,0.3724962169445495,0.36585066054536747,,,
ggZHbb,9.5080271296301,9.5080271296301,8.537972606076476,7.869087631845407,7.59027263606386,1.7031580342288875,0.6019258375764378,0.01715297374971051,0.01715297374971051,0.01715297374971051,,,
ttHbb,312.2634270090423,312.2634270090423,279.8295542589564,251.04564243275024,245.18197187027914,56.63079857964969,8.004100212874533,0.30098694130066256,0.27581630963870374,0.25763095398599906,,,
HWW,150.6196638895773,150.6196638895773,135.6185484608632,119.82393811275331,116.78543137409841,32.558331439625,3.2378538852761647,0.7816711345998986,0.757671048095524,0.7394547704127992,,,
Data,1414872.0,1414872.0,,,,287601.0,23307.0,1247.0,1233.0,1223.0,1283242.0,1192162.0,1159898.0
