,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985138028323494,30.94314561631638,30.937494265156612,4.130113917547792,2.2108017126090753,1.2305029264770782,1.22942276407085,1.226656183072227,,,
QCD,1117757.9198795077,1251971.8257647846,1096823.3648627643,1008913.1976229508,943765.3420225268,229706.95149860345,18809.342153973997,750.6358775148401,750.6358775148401,750.6358775148401,,,
TT,114729.520688572,114729.520688572,102937.09414930944,92452.86171917933,89017.28627421668,24831.025465392544,1632.5728094192546,69.14648807631795,63.451029672019786,61.474877550818434,,,
ST,9991.097357360095,9991.097357360095,8851.86333966262,8151.191801239113,7871.797112112172,2113.491294937928,144.82553191984454,9.54687946041875,8.732627210014153,8.255213123970368,,,
W+Jets,14710.822213085146,14710.822213085146,13383.822143348041,12404.2214760125,11856.154755280988,2937.7852614347566,218.79590132050564,16.621416170931496,16.504680813101086,16.504680813101086,,,
Z+Jets,21597.004857058182,21597.004857058182,19260.917047394778,17896.968070869505,17052.857097503325,7864.2855671531415,2780.995332041883,108.88817567450765,108.88817567450765,108.40557708192387,,,
Diboson,936.1606241609029,936.1606241609029,848.6277079107374,801.3643305141766,767.1590774624293,333.8247270476408,116.97425430770376,5.876525434356078,5.603335763160076,5.603335763160076,,,
ggFHbb,224.56874142701201,224.56874142701201,204.27784706506026,184.57541758596614,174.39775354059967,25.21425398638641,9.570271002159906,0.31354482553592306,0.31354482553592306,0.31354482553592306,,,
VBFHbb,66.27722451912622,66.27722451912622,60.60652636866841,56.108538560361204,53.862826031283674,6.957460334923727,2.7778240433567234,0.09224827903124713,0.09224827903124713,0.09224827903124713,,,
ZHbb,63.465766584473805,63.465766584473805,57.552859435784285,54.51396998506854,51.86244003540488,11.073017057759927,5.313612292539026,0.13979920343476882,0.13979920343476882,0.13979920343476882,,,
WHbb,108.86564442012758,108.86564442012758,98.33912618522614,94.15321236548372,89.665518131979,12.887471140097249,4.6605431425788195,0.36611391291404527,0.36611391291404527,0.3594683565148632,,,
ggZHbb,9.5080271296301,9.5080271296301,8.524747530801806,7.849186618767565,7.554323751664462,1.6917288298197835,0.5974738698543689,0.0169035902656024,0.0169035902656024,0.0169035902656024,,,
ttHbb,312.2634270090423,312.2634270090423,279.3762636177432,250.23725573372224,244.08128499551196,56.334721562798464,7.950392137069626,0.30048293383870983,0.275312302176751,0.2571269465240463,,,
HWW,150.6196638895773,150.6196638895773,135.3341495565584,119.2607765244569,116.02818615709796,32.326213681947486,3.217559315513098,0.781080271199871,0.7570801846954964,0.7392233826457604,,,
Data,1414872.0,1414872.0,,,,287601.0,23307.0,1247.0,1233.0,1223.0,1283242.0,1192162.0,1159898.0
