,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_up < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.731464546967267,16.680242418953814,9.316481407558424,9.308311689872967,9.28545754423384,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,228608.11016775502,19499.196410016437,682.1060039193183,682.1060039193183,682.1060039193183,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,24897.88741521815,1597.9903501337203,66.02727515853823,58.204383530102646,55.39602324166163,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2170.2735405539643,144.37143728036426,9.44102601171319,8.82171109036979,8.216538216605391,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1947.6747647673592,121.95059943715611,12.461864841131833,12.336756456348626,12.240044246008734,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3197.6081077331914,562.7744684699678,25.176477732622043,25.031823373360876,25.031823373360876,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,93.60944324794934,22.906728810564285,0.8434079834187398,0.8434079834187398,0.8434079834187398,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,138.33295486653788,71.36064519106444,2.1906719738064604,2.1906719738064604,2.167239466226118,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,44.33878681244627,24.77623786753064,0.9058721314490135,0.9058721314490135,0.9058721314490135,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,35.26473642394792,18.971505621501272,1.1181100934375503,1.1167139735812825,1.111822329627114,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,69.45233546859095,35.76231456014591,2.971995098441374,2.9707130913446047,2.9597849159492187,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.3550252057461885,2.039455132802474,0.09211073165448828,0.09211073165448828,0.091507519055233,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,95.61286314769467,30.125006707663623,1.3522407476756992,1.2317444160050304,1.1094983651622174,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,30.29806031241092,1.926248286316314,0.24720361786670092,0.22411955713465342,0.2058969337815005,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,22164.0,1154.0,1142.0,1126.0,281391.0
