,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_up < 170.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.029803522689944,2.1466048932536914,1.1934180197201139,1.1924495593501985,1.1900012726983904,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,231573.919667785,18863.568951674697,758.1972176184122,758.1972176184122,758.1972176184122,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,24522.262834036337,1612.824917090255,68.59324660565015,62.66119112716151,60.282031533045114,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2108.2402517799665,144.68575423398255,9.028927854786147,8.214675604381547,8.214675604381547,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,3035.1431185680276,226.03098782112298,17.196030170717357,17.079294812886946,17.079294812886946,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,7983.788729778604,2844.862439768658,111.70684863525275,111.70684863525275,111.22425004266896,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,346.41777294685676,121.73596413302654,6.5295162984073105,6.256326627211308,6.256326627211308,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,26.062269567255893,9.839593444817869,0.31354482553592306,0.31354482553592306,0.31354482553592306,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,6.986039924133622,2.7608932193000717,0.09224827903124713,0.09224827903124713,0.09224827903124713,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.312180484151583,5.446522720509202,0.13976671864730641,0.13976671864730641,0.13976671864730641,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,13.142900263094685,4.749390801660265,0.38157289804704236,0.38157289804704236,0.3749273416478603,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.7198723375982352,0.6193905172980145,0.01902341249565165,0.01902341249565165,0.01902341249565165,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,56.03061137168788,8.009835457758918,0.30692898594062884,0.28175835427867,0.26070507457548464,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.053546949941634,3.2114707292821274,0.7905876667928498,0.768893713108188,0.7514614553425902,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,23307.0,1247.0,1233.0,1223.0,287601.0
