,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_down < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.83033130208021,9.093193290742809,4.287626064616454,4.280507628734418,4.256687396193545,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,227639.3458873475,208218.328974793,201653.45772288318,201276.9546409668,200311.10413128918,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25186.20497406605,23577.364469836397,22460.261130244624,19211.716511932118,17164.226592906623,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2191.298635054068,2047.231015060729,1921.12732623706,1695.3547684000248,1536.2648011339397,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1931.131808967415,1812.2068868688102,1664.7128050901226,1659.105583511573,1651.564294120936,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3083.0015796011735,2574.8988613851748,2456.713771339434,2450.18816641146,2430.5097520922673,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,88.48053198635272,68.72447918334683,64.90471526240376,61.008456030534624,56.72384537113072,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,140.00554362745137,67.74196649113888,66.07578374911932,65.93059284145718,65.5944798246963,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,44.70356585564976,19.746099686380262,19.17108204920331,19.115073912840092,18.914860958807765,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,35.69058452384359,16.5223440593715,15.584098617344386,15.55077756521454,15.427133667782751,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,70.31656568963695,34.145515755812106,31.465452826915342,31.399134149007473,31.206889961641448,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.406015930699581,2.3405396067148563,2.2408875684893945,2.2334942664824986,2.2134230051228343,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,96.861624471478,66.41449144490252,63.533458771171645,54.43797140281432,46.97449925367322,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,30.644011659490253,28.728388616488694,25.41976757107362,20.037062926166893,16.437844887944507,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,259227.0,246255.0,241691.0,238089.0,281391.0
