,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_down < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,25.49922335945852,8.974692909217756,4.23252710818007,4.225665247810095,4.201833306502242,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,226887.01254822282,207404.5260601196,200961.8724582027,200601.37614152566,199627.99818464436,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25597.99097728626,23960.56036877535,22825.8530408333,19550.16361177356,17453.978554456244,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2211.0078486126336,2063.9921782985098,1936.6989902090215,1709.1265979932118,1548.2870918167193,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1931.9821549577646,1812.0731374889592,1664.7473459230548,1659.104285616627,1651.5515566540398,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3064.3351842357233,2563.09863861074,2444.7965102686203,2438.2614998880867,2418.97577750274,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,85.90429123057962,66.32057600071813,62.788685852033176,59.33255681298631,54.56150407832446,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,139.10959798611026,67.45560017465819,65.85299347991744,65.70780257225528,65.3724300447289,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,44.477756683915324,19.598076111201586,19.040052457344068,18.997458663377767,18.796551780976607,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,35.40136581306956,16.393783876451607,15.462709445579943,15.427859912349582,15.304734258485322,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,69.75689639385493,33.86453812582774,31.222132579443183,31.153683515069226,30.96268741017261,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.3897456681353475,2.333909043602501,2.234716149273144,2.2270804249063696,2.2076332625292197,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,97.41054706443778,67.00935133901045,64.08355787227893,54.95573354293704,47.47354321282025,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,30.891865272054805,28.97036605075041,25.639439227492616,20.22107311254418,16.57579421060493,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,259227.0,246255.0,241691.0,238089.0,281391.0
