,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.982213548336777,30.937417472865732,30.93082292095139,25.616541447207563,16.605844590059935,9.274575978238907,9.266517962589766,9.243982111297456,,,
QCD,1117757.9198795077,1251971.8257647846,1089263.6015733394,997356.7293659851,930808.8629285059,224348.4078706551,19163.479493361054,680.1045475976001,680.1045475976001,680.1045475976001,,,
TT,114729.520688572,114729.520688572,102488.99259953517,91636.58581004354,88074.61034949859,24741.03068212078,1587.219687230083,65.72309293275046,57.735419028843246,54.77612397083257,,,
ST,9991.097357360095,9991.097357360095,8813.979477349261,8090.8633238099565,7802.3722044939195,2155.456665914394,141.35828144052869,9.116276287942952,8.496961366599553,7.891788492835156,,,
W+Jets,14710.822213085146,14710.822213085146,13309.997236844787,12289.8028470679,11732.614807501395,1913.5787505106114,119.30142800283251,12.17812309392063,12.053014709137424,11.956302498797532,,,
Z+Jets,21597.004857058182,21597.004857058182,19150.920965168283,17725.883886021395,16861.14716378858,3079.95568902758,523.6447112036371,23.836517965853822,23.691863606592655,23.691863606592655,,,
Diboson,936.1606241609029,936.1606241609029,844.4338248758528,795.8565281877022,761.4684852741487,87.97695511850034,20.71476167389545,0.8434079834187398,0.8434079834187398,0.8434079834187398,,,
ggFHbb,224.56874142701201,224.56874142701201,203.17491515262697,182.51006921333993,172.00538108694283,136.58546921188824,70.49932868992919,2.162836445148428,2.162836445148428,2.1394039375680847,,,
VBFHbb,66.27722451912622,66.27722451912622,60.283927123911184,55.48463027564431,53.20421045499424,43.8148712531164,24.43989079793488,0.8950771444299535,0.8950771444299535,0.8950771444299535,,,
ZHbb,63.465766584473805,63.465766584473805,57.226156792374354,54.01226272805952,51.30995660160751,34.892033434463485,18.74921571248359,1.1001809993339178,1.09878487947765,1.0938932355234814,,,
WHbb,108.86564442012758,108.86564442012758,97.71271985447412,93.29532734761905,88.73211078186525,68.71166839632097,35.408163239093255,2.9486945119686543,2.9474125048718847,2.9364843294764986,,,
ggZHbb,9.5080271296301,9.5080271296301,8.481146692985588,7.78090427018692,7.479060679939495,4.309751974171635,2.020087719104478,0.09182712649310443,0.09182712649310443,0.09122391389384912,,,
ttHbb,312.2634270090423,312.2634270090423,278.0420807441895,247.91306569218486,241.45282290087226,95.04448351054783,29.890533545793634,1.3463563640822958,1.2258600324116269,1.1065867532219198,,,
HWW,150.6196638895773,150.6196638895773,134.8178450012991,118.2406663980612,114.8878170701976,30.052452802537214,1.8948292574691772,0.24542864645853196,0.22234458572648447,0.20547376683486338,,,
Data,1414872.0,1414872.0,,,,281391.0,22164.0,1154.0,1142.0,1126.0,1283242.0,1192162.0,1159898.0
