,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.17929485680219526,0.12496767050379254,0.11178158703762511,0.11163072746386839,0.11108930746280793,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.13178676182026558,0.0912236763544837,0.08081535186938202,0.08070437939345147,0.08038995826262073,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.09595664357959867,0.06470721718404092,0.05771865916660837,0.05761648357207455,0.05745541083301539,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.22180794217660685,0.15114212656057857,0.13544097433200358,0.13520164861979173,0.13433063499042142,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.002677784377480245,0.001976201599304619,0.00118202018364902,0.0011762108247907492,0.001166611373708899,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,2.753233842416629,2.079328666029215,0.89716824266978,0.895095870656114,0.891172020057324,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,4.618859973317032,3.4944401901013142,1.5117200123047483,1.5086658721211392,1.5008759598183803,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.001653816529573738,0.0011454040615044157,0.0007498565355419104,0.0007497151402540633,0.0007434754613452897,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,2.5438182875857325,1.9266361464876627,0.8147450903944313,0.8129844361907439,0.8090667656033339,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.01013442024576409,0.007436711150398668,0.004258120693005826,0.00424276331709399,0.004217604622790059,
QCD,1117757.9198795073,1251971.716351885,1247814.9781850395,1244750.07933536,216.65245418248858,31.857034205009473,31.164244371035743,31.164244371035743,31.164244371035743,
TT,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,53.5467241021905,10.287618366486589,10.237028900690625,8.552144710948236,8.19698554699771,
ST,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,4.792683038128311,1.0019694498900742,1.0019694498900742,1.0019694498900742,1.0019694498900742,
W+Jets,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,11.968076429547555,2.5745321260102427,2.5745321260102427,2.5745321260102427,2.5745321260102427,
Z+Jets,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,7.748757918688884,3.7834571191964117,3.7170410084265075,3.6339332007126326,3.6339332007126326,
Diboson,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.28001420954562,0.0,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.0226503243689606,0.0,0.0,0.0,0.0,
VBFHbb,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.00781540855142399,0.007053118410133913,0.007053118410133913,0.007053118410133913,0.007053118410133913,
ZHbb,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.02706830589356704,0.017193216762428003,0.015821366401945744,0.015821366401945744,0.015821366401945744,
WHbb,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.06544118027432026,0.04488610160050282,0.04312586391807053,0.04312586391807053,0.04312586391807053,
ggZHbb,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.0023105507367408213,0.0013789359442274115,0.0013789359442274115,0.0013789359442274115,0.0013789359442274115,
ttHbb,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.18655992246771474,0.07147744489129343,0.06906500110949482,0.061216566937808414,0.058363880969040285,
HWW,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.6325703221853844,0.4849672607846046,0.4505417633428567,0.4410946688744265,0.41899741991831063,
Data,1414872.0,1414872.0,1414872.0,1414872.0,,97.0,95.0,92.0,89.0,479.0
