,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.10048369886571923,0.06881322556477831,0.06379060750644364,0.06369903559273896,0.06340524968550809,
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,128.12107546020687,21.8250531415681,21.8250531415681,21.8250531415681,21.8250531415681,
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,30.05643794177995,5.266622625437053,5.1720299109258745,4.646886081397275,4.204546837660539,
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,2.7195734718572293,0.6515245689484095,0.6515245689484095,0.6515245689484095,0.6515245689484095,
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,6.268052619449294,0.3048935812949931,0.3048935812949931,0.3048935812949931,0.3048935812949931,
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,4.149228398926461,2.0188134548235905,2.0188134548235905,2.0188134548235905,2.0188134548235905,
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.28002666601210957,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.012751058170662346,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0011316358208415403,0.0005866878243202447,0.0005866878243202447,0.0005866878243202447,0.0005866878243202447,
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.07981199393124837,0.03818360830247132,0.03818360830247132,0.034506661608419795,0.03188474433697892,
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,1.0096681646516679,0.27954052178380645,0.261758469015304,0.24744950492961337,0.23188659123046115,
Data,1331012.0,1331012.0,1331012.0,1331012.0,,63.0,61.0,61.0,61.0,357.0
