,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089569871064302,0.9039095978553666,0.06864409123446644,0.04767844576139703,0.04375621547344079,0.04369786379582626,0.043448172272698954
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6645552104862419,0.6613411332764368,0.050497132118981214,0.03490769406574678,0.03150436665215801,0.03144463754805735,0.031334629871935166
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925909545267865,0.6897912774564408,0.03535479533257586,0.02484457780982423,0.021553651305304757,0.021486255579880313,0.021426326498605958
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869780819158964,1.179979106730611,0.08788375817949498,0.06230000007032478,0.056829275021631855,0.05671586992027799,0.056385846383779206
VBFHHbbVV,0.017142810635160908,0.017057515596418465,0.016953798033729275,0.0010077641581594666,0.0007438607114007027,0.0004930489257527319,0.0004930489257527319,0.0004893706594175219
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.041425423834797,9.026899501698114,0.9573215804281167,0.7192493974801849,0.32537099894188454,0.32447355243829906,0.32285810176209495
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.236684057351848,15.208701521587559,1.594422563633031,1.200064171398826,0.5423206898385968,0.5406009380965721,0.5374271830978669
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728815386310379,0.017203131133339978,0.0005923611419473808,0.000372419755636532,0.00023512136893756022,0.00023512136893756022,0.00023410806870511214
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123287191192881,8.11222351080432,0.8829206151254042,0.6669408799690372,0.29630773651167835,0.2959224583629244,0.29469889320626186
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04596398382314275,0.04568517702092812,0.0041370978639352265,0.0030538537501120008,0.001789868788506678,0.001789868788506678,0.0017840257171167257
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.8577847635524405,4.850361368108131,0.5196858492182624,0.3921180391764168,0.17509159337809826,0.17467619578840324,0.17403544307811716
