,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089569871064302,0.9039095978553666,0.0685034222324864,0.04771194789259909,0.04377772889056662,0.043719377212952104,0.0434696856898248
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6645552104862419,0.6613411332764368,0.05060503000738849,0.034974494968855616,0.03157154756598258,0.03151181846188192,0.03139101603607161
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925909545267865,0.6897912774564408,0.035469957287612666,0.02499867975779675,0.021707753253277277,0.02164035752785283,0.02158042844657848
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869780819158964,1.179979106730611,0.08804896063398414,0.0622262451756717,0.05673948648172615,0.05659149958496377,0.05626147604846499
VBFHHbbVV,0.017142810635160908,0.017057515596418465,0.016953798033729275,0.0010104707380893456,0.0007492307546676433,0.000497824949547774,0.000497824949547774,0.000494146683212564
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.041425423834797,9.026899501698114,0.9568782989247386,0.7187161562191839,0.3248179824315911,0.323909502846617,0.3223331687932446
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.236684057351848,15.208701521587559,1.5945268288388688,1.198587104612846,0.5413218157735065,0.5396020640314818,0.5366078559812184
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728815386310379,0.017203131133339978,0.0005927784704346615,0.0003695289203676176,0.00023512136893756022,0.00023512136893756022,0.00023410806870511214
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123287191192881,8.11222351080432,0.8832888922286734,0.6672972057109857,0.2962954742477112,0.2958845305558719,0.29468069522070717
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04596398382314275,0.04568517702092812,0.004138466704594026,0.0030531076339968934,0.0017866373036456791,0.0017866373036456791,0.0017807942322557268
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.8577847635524405,4.850361368108131,0.5196950526674659,0.39214137080795786,0.1751958616720489,0.17478046408235387,0.17416519817460316
