,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9088133851056495,0.9034401058416878,0.06834201973046415,0.04761634075227637,0.04369567401499917,0.043637322337384654,0.04338763081425735
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.664608943823672,0.6612910222207564,0.05059327508365541,0.034988350556343556,0.03158889154464266,0.031529162440542,0.03140366289432406
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925670948427524,0.6894986011225204,0.03518907264206356,0.024814921571449246,0.02152399506692977,0.021456599341505327,0.021396670260230975
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1867125531122338,1.1791839510518887,0.08817678282433433,0.06233125903143563,0.05684450033749009,0.05671667963176803,0.05638665609526926
VBFHHbbVV,0.017142810635160908,0.017058086230883597,0.016939223141923036,0.0010131105158614586,0.0007474875122204614,0.0004928906995869534,0.0004928906995869534,0.0004892124332517434
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.042703078660551,9.027789826233938,0.9560021260619049,0.7174400943017367,0.32472716234933097,0.3238297158457455,0.32234554389748016
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.238394260476618,15.21128009157495,1.592826283768821,1.197090204859972,0.5414189486075094,0.5396991968654847,0.5365254418667795
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01729880464151598,0.017204109571180043,0.0005893975032589737,0.00036773403469231037,0.0002352404117274881,0.0002352404117274881,0.00023422711149503997
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123576815077866,8.112079560543949,0.8830501033856567,0.6675589236438929,0.2962989932182327,0.29586711118372944,0.2946632758485648
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04598092612979389,0.04562701082437803,0.00410247768484328,0.003028478737782919,0.0017776379694513817,0.0017776379694513817,0.0017717948980614296
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.858313008222108,4.850657151891384,0.5188858223442906,0.391723544361329,0.17528828748605352,0.17487288989635846,0.17425762398860778
