,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089569871064302,0.9039095978553666,0.06308338621124338,0.04370485817480624,0.03982765267371143,0.039769300996096914,0.039581618946345175
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6645552104862419,0.6613411332764368,0.04562168112634377,0.03159727380092023,0.02836694546515834,0.02830721636105768,0.028201306757573166
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925909545267865,0.6897912774564408,0.03313230620041964,0.02347254176629235,0.020323700934854045,0.0202563052094296,0.020196376128155245
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869780819158964,1.179979106730611,0.07951371172123048,0.056271020798485186,0.050957821655569835,0.050804245254655274,0.05049664976083146
VBFHHbbVV,0.017142810635160908,0.017057515596418465,0.016953798033729275,0.0009174714763317866,0.0006702498673745032,0.00043528664937303164,0.00043528664937303164,0.0004323699980135589
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.041425423834797,9.026899501698114,0.8620208259682411,0.6476456814306569,0.2890403271389555,0.2882835010759712,0.2870240547299326
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.236684057351848,15.208701521587559,1.4467048130398583,1.089323668538273,0.485318853522243,0.48338751902598576,0.4805961327028601
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728815386310379,0.017203131133339978,0.0005426460085614124,0.0003409223587419085,0.00022389742768853699,0.00022389742768853699,0.00022288412745608889
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123287191192881,8.11222351080432,0.7954879371060997,0.6019393079270301,0.26458394027522836,0.2641843720660342,0.262927288320533
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04596398382314275,0.04568517702092812,0.0038025260843817634,0.002775271475984796,0.0015990122024130957,0.0015990122024130957,0.0015931691310231435
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.8577847635524405,4.850361368108131,0.46923256275765607,0.354701764074267,0.15715129264652483,0.15679437881542097,0.1562180392437489
