,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9146797127231545,0.914608580736421,0.06885869077934335,0.04783644826410607,0.04390406368525669,0.043845712007642174,0.04359602048451486
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6683732502307893,0.6683440291772297,0.05083269007517057,0.03514179031154807,0.03173905248594783,0.03167932338184717,0.03156444874750321
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6961672071027301,0.6961503343627864,0.035700536738714636,0.02527150730491303,0.021980580800393553,0.02191318507496911,0.021849268176593117
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.194939850746327,1.194863643345132,0.08899009742610078,0.062803363202862,0.05731460256095758,0.057166615664195196,0.056848685559886786
VBFHHbbVV,0.017142810635160908,0.017142810635160908,0.01713613133865023,0.0010131580006457548,0.0007460725913014498,0.0004904016086452205,0.0004904016086452205,0.0004867233423100105
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.059969405735588,9.059736365894128,0.9574417625819691,0.7187185888017886,0.3253119005996602,0.32451800324148566,0.3229416691881132
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.268523007482312,15.267944297736292,1.593482431868927,1.1980834903795308,0.5428846842866752,0.5410787592006225,0.5379442540481372
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.017381485750001178,0.017381029637912705,0.0006018547960125294,0.0003702852876115503,0.00023663882704802653,0.00023663882704802653,0.00023562552681557843
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.137771513074911,8.13753084505025,0.8853124643765543,0.6687008848429378,0.2977096304687582,0.2972618747447747,0.29603633735712176
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04621106714203778,0.04620548591593372,0.004182460093071105,0.003066129918810293,0.0017926748504149626,0.0017926748504149626,0.0017868317790250103
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.866947802017757,4.866801448146752,0.5195108466738413,0.3919360794640285,0.1761151968023751,0.17573276783046615,0.175077181001411
