,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9023550701523806,0.8922164777611142,0.009675461900341877,0.004457610109182268,0.004457610109182268,0.004434306770205506
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6602280471196562,0.6536627676239384,0.008101591819602735,0.004145968661107013,0.004145968661107013,0.004121041282568977
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.68826027367557,0.6815807987728579,0.00740155799134273,0.003986808744446529,0.003986808744446529,0.0039124378993178836
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.177425113130468,1.1624124550573232,0.011993709893189642,0.006324767067229041,0.006324767067229041,0.00628309481453846
VBFHHbbVV,0.017142810635160908,0.016946948831945308,0.016740582815179254,0.0010338927468393371,0.0005206502956733353,0.0005206502956733353,0.0005206502956733353
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.022131227388936,8.992835649888317,1.7085019475523877,1.0278695863362073,1.026527915616365,1.0230029252359665
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.199932382842736,15.145314901506145,2.79016655551775,1.6834315935379287,1.6808436367524406,1.6769052863043585
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01719563669461592,0.017032598673655176,0.0004877498064520918,0.0002439611368829061,0.00024222330549022758,0.00024121000525777948
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.106981418397858,8.0837144471882,1.6092734064726955,0.9716178377203211,0.9699572238234828,0.9665771867515617
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04564902915241258,0.045113103521711495,0.003875003287432875,0.0021241179716863555,0.0021241179716863555,0.0021241179716863555
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.847164914729352,4.8318163745125045,0.9403224066956427,0.5665454169005782,0.5655566777800464,0.563886107437657
