,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JES_up ≥ 300,VVFatJetPt_JES_up ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.9137,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,1.226207055855298,0.962836113592311,0.962836113592311,0.962836113592311,0.9627053590859099,0.9626195325143448,0.9626195325143448,0.10870766049208345,,
QCD,1025068.5251140338,758372.038498297,951838.4448337916,951838.4448337916,951712.1943890575,951598.2071610591,951598.2071610591,420791.17655562627,,
TT,60216.68690936446,49536.832979442996,49536.832979442996,49536.832979442996,49530.16373826935,49522.744044389656,49522.744044389656,19639.503972182076,,
ST,4318.746371851393,3575.7297900135763,3575.7297900135763,3575.7297900135763,3575.575144620543,3575.04448299104,3575.04448299104,1556.8209237678564,,
V+Jets,28575.038253779858,22718.400706946682,22718.400706946682,22718.400706946682,22714.82634095938,22712.854992275392,22712.854992275392,8522.563223719531,,
Diboson,435.3161593699373,352.5916898055027,352.5916898055027,352.5916898055027,352.5916898055027,352.5916898055027,352.5916898055027,121.27976322926213,,
Data,1028022.0,1028022.0,1028022.0,1028022.0,,,1028022.0,484294.0,1028022.0,1028022.0
