,SF,syst_unc,stat_unc,sj_pt_unc,sj_matching_unc
HHbbVV,1.07 ± 0.22,0.14598202622273043,0.05148331216012263,0.001247443129251291,0.1340238659946635
ggHH_kl_2p45_kt_1_HHbbVV,1.07 ± 0.25,0.17956551979020804,0.05030712816542529,0.0015492274792712067,0.133384366194058
ggHH_kl_5_kt_1_HHbbVV,1.04 ± 0.46,0.42228077211173504,0.056933276148314574,0.0021358928909425592,0.132214432405637
ggHH_kl_0_kt_1_HHbbVV,1.08 ± 0.25,0.18802466669437753,0.04677117041119837,0.0013923149361936122,0.13385269121813032
VBFHHbbVV,1.14 ± 0.43,0.33885390804614135,0.07214685472282997,0.0031249304090568263,0.14236981342244498
qqHH_CV_1_C2V_0_kl_1_HHbbVV,1.15 ± 0.19,0.07292706311681453,0.045625313188677664,0.014401260847208417,0.1415082738130374
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,1.16 ± 0.19,0.06538008057637573,0.048358921881093066,0.013140837153129317,0.1433730379433939
qqHH_CV_1_C2V_1_kl_2_HHbbVV,1.28 ± 0.69,0.5122756018431425,0.07069633096469839,0.005876942326497809,0.159862043251305
qqHH_CV_1_C2V_2_kl_1_HHbbVV,1.17 ± 0.20,0.07998276493486906,0.04533190877429473,0.015784940688716022,0.14388528245299026
qqHH_CV_1_C2V_1_kl_0_HHbbVV,1.12 ± 0.33,0.25356670143465737,0.05764122579902412,0.0026072690481566576,0.134886538885217
