,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.04949111687156479,0.034001799222173196,0.03396039520886816,0.03375587096199867,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6649531572120448,0.6617354385600798,0.035839705484443714,0.02471518709885627,0.024692966926500574,0.024572935381338055,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6920514447111688,0.6892047021562906,0.0257434794239706,0.018107659899853773,0.018107659899853773,0.017973359973450776,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863493648635597,1.17930333767202,0.06514785160576284,0.04649991756709214,0.04637209686137008,0.04618115029800625,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017030078444247275,0.016924919012766975,0.000652824338851759,0.0004826368788292984,0.0004826368788292984,0.0004762309329333136,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,0.6926134601730757,0.5226903679586209,0.5218073186304084,0.5195351094901351,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.23647158421826,15.20829496277662,1.1524388281115452,0.8731548816421492,0.8713847903947994,0.8675291360989865,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017299990201845,0.017214419089199705,0.0003932433014496923,0.00024091096315209144,0.00023677711991498026,0.00023677711991498026,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123943352838433,8.11286122859791,0.637255519477786,0.48510619963428186,0.4842949064351719,0.4822499276116172,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.0459311591300662,0.04565497610400018,0.0027404729692742918,0.002007948391290833,0.002007948391290833,0.002007948391290833,
QCD,717986.216814939,970717.8146709627,970717.8146709627,962216.3978416026,955328.3949004482,38.69922802467875,0.0,0.0,0.0,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,10.530954891065123,1.8645680091212162,1.782064486083922,1.7082298345586109,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,1.0442964454786612,0.30245845618708966,0.30245845618708966,0.30245845618708966,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,2.7882651317039517,0.9054813816859687,0.9054813816859687,0.9054813816859687,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,1.5107763637440963,0.5791349812939155,0.5791349812939155,0.5791349812939155,
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.0,0.0,0.0,0.0,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.002970389023814809,0.002970389023814809,0.002970389023814809,0.002970389023814809,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.004357417380619187,0.002754097446498364,0.002754097446498364,0.002754097446498364,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.0005585138082389902,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.028384094907795292,0.011806299788516895,0.011806299788516895,0.010792717192962506,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.5043225132319279,0.16005573958077068,0.15350384723878402,0.14467636331782685,
Data,1061835.0,1061835.0,1061835.0,1061835.0,1061835.0,,18.0,18.0,17.0,103.0
