,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9021974589337566,0.8921274934572291,0.053528406545641484,0.036756769640572846,0.036715365627267814,0.03650124095838955,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6606251851799471,0.654055669353281,0.03922001196224032,0.026984785239960455,0.026962565067604756,0.02682036950263796,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6877389328223249,0.6810698404272066,0.02811519413291498,0.019725856355086,0.019658460629661555,0.019524160703258558,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.176818579571213,1.1617121639970687,0.06920746846361231,0.04988806387062203,0.04974007697385964,0.049510316782625394,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.016919511679774117,0.016710528233663646,0.0007069056858092296,0.0005105711609853026,0.0005105711609853026,0.0005068928946500926,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.022591570183286,8.993098263152001,0.7602524440137194,0.5753382857180969,0.5744781515923709,0.5722265191916118,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.199677089537838,15.145129783948754,1.271246041913501,0.961437159866793,0.95923955611654,0.95503136470964,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.01720697227181179,0.017039203791830167,0.00042612050161898994,0.00026357876820132286,0.0002618409368086444,0.0002618409368086444,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.1076359787108,8.084305121253376,0.7042634586312937,0.5351548662341811,0.5342451571350727,0.5320231933336909,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.045614762720094335,0.045084105521786697,0.0029510699897932146,0.0021716592361440018,0.0021716592361440018,0.0021716592361440018,,,
QCD,717986.216814939,970717.8146709627,970717.8146709627,952329.4467716418,938042.036549902,38.43339871558608,0.0,0.0,0.0,,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62281.26379618576,61419.84821786183,10.39495521347462,1.7310192291015007,1.5825225358362023,1.5086878843108908,,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5343.110583081037,5284.0364074716335,0.7646490874749707,0.30245845618708966,0.30245845618708966,0.30245845618708966,,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9357.72731042376,9249.165805487482,2.5592429216475474,0.697119800563724,0.697119800563724,0.697119800563724,,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11862.409496423767,11728.495220567063,1.2779873107153368,0.4099486124192833,0.4099486124192833,0.4099486124192833,,,
Diboson,544.751536187187,544.751536187187,544.751536187187,538.0128172568578,533.0567491419495,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,119.40071843999348,117.91244552095317,0.0,0.0,0.0,0.0,,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,31.963053181455805,31.627848698776596,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.31418583302164,32.04157172822267,0.0017282926164173262,0.0017282926164173262,0.0017282926164173262,0.0017282926164173262,,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.31129788288006,54.93711011186556,0.0032724266158920567,0.0023982220543541906,0.0023982220543541906,0.0023982220543541906,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.818097766172652,4.7680686559651555,0.00033266615115927923,0.0,0.0,0.0,,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,154.9802638394503,152.95156197255415,0.02578581360894371,0.012937011715639823,0.012937011715639823,0.012820677168142627,,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,79.61251131832795,78.50954646527252,0.5460632290067964,0.19237050513524206,0.18601297524753824,0.17718549132658096,,,
Data,1061835.0,1061835.0,1061835.0,,,,18.0,18.0,17.0,1061835.0,1061835.0,103.0
