,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_up < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,219274.8308174086,201681.20645195432,195236.6030184124,194904.72020657556,193978.02142410984,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,23614.03981983392,22136.71712887966,21050.129800944007,18428.927016847876,16575.08978469856,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2132.878528061639,2003.95112344431,1876.653011529266,1687.587562454217,1526.995005258017,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2701.3286279174936,2504.720517274033,2328.8603603745205,2322.5119627015674,2315.231105761425,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7577.665775105096,4965.846249094962,4760.046999696548,4748.7100243887735,4724.298585400645,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,310.4376283664112,198.40627709677855,183.56871321814913,175.4658274842672,168.6402635400317,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,33.95148156662121,20.088699826551206,19.505223617093137,19.40278664399007,19.250095444515544,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,9.834647752553446,5.391501263036716,5.2352031992173504,5.212826010961433,5.154017590257788,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.935370207308884,6.642302670472159,6.384430465089384,6.3752691264900685,6.311705343698744,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,18.20600565129409,10.823623692467137,10.035958042820408,10.003325122951946,9.911493790818662,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,2.0525777491558683,1.311571809330476,1.2701537290331935,1.2642631978445462,1.2513654581017066,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,60.136312006933345,50.19486344435651,47.94697220181913,41.91520046127135,36.593820665968,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,31.6944673984945,28.82967529371451,24.74269060666149,19.98665439560508,16.63035894181033,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,237860.0,225791.0,222256.0,219160.0,257195.0
