,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,1.6381645128552338,0.11021560142909745,0.07763373594536849,0.07751969311886933,0.07704263104351579
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,1244732.1343265425,75.9755984131705,5.882107270266179,5.882107270266179,5.882107270266179
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,114013.39252180453,19.79634960959322,4.007544179564364,3.477317673138396,3.450164591213126
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,9928.917874231587,2.554225929286668,0.6894987125411937,0.6894987125411937,0.6894987125411937
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,14640.307900717218,6.192862906840954,1.0689774014457376,1.0689774014457376,1.0689774014457376
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,21478.311853248793,3.2081775052990715,1.7698848170027754,1.7698848170027754,1.7698848170027754
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,930.6761200627391,0.28001420954562,0.0,0.0,0.0
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,223.5656191986538,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,65.99365088886346,0.0,0.0,0.0,0.0
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,63.23426270035958,0.007126967067461129,0.0012476993426627087,0.0012476993426627087,0.0012476993426627087
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,108.51995537902327,0.028914360903670503,0.020327817444704233,0.020327817444704233,0.020327817444704233
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,9.462879793200281,0.0008216839630774777,0.0005522268505756501,0.0005522268505756501,0.0005522268505756501
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,310.2091465105803,0.07933430458812948,0.029360226399230818,0.026759807777704724,0.026759807777704724
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,149.38456187395192,0.9205299928588988,0.29869261922156176,0.2961691576813639,0.28413440388800887
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1414811.0,186.0,48.0,47.0,46.0
