,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147415.0940502474,136078.33271557506,132656.21875464584,132418.02881806646,131964.296290214
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11464.437559566615,10655.870651706307,10154.860315963964,8787.333053976912,7940.621784403169
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1016.9280621464596,956.2630865513846,909.2027856397406,808.4995080204015,747.484151964662
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1185.5396481512482,1112.55384427221,1043.3470022579656,1040.5327062705087,1037.633894707774
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1632.9274834352734,1338.7619846183113,1286.6339404464684,1283.4375799846646,1275.73389921299
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,46.122519596518046,35.14943387003368,33.26392013936272,31.576839324867947,30.956734020416697
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,60.046739523818076,29.136799265018748,28.549433323787284,28.440540416199774,28.238825230300538
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.205237377195097,9.208415846102202,8.938734178353098,8.914755648265496,8.870444850142798
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,15.733004482603187,7.220807370690132,6.829568003163764,6.809359938784604,6.77481491238451
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,30.638473230982566,14.788808932793,13.84566977434285,13.826451331662376,13.76456930098609
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,1.99718906540258,1.0217023111703414,0.9843094716777985,0.9816338058724363,0.9741920087942543
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,42.3993096672669,28.7491743314669,27.459377196293648,23.835692700719505,20.649384965320028
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.81614340364223,13.754980888952689,12.206381056266208,9.811552229424157,8.197753451173398
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,146205.0,136050.0,128926.0,127045.0,125535.0
