,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_up < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147194.2319552636,135896.00381046266,132537.18461331827,132329.38353783023,131834.3677083188,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11585.099577565936,10768.944342614235,10260.895597629758,8896.704662592354,8034.715117866807,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1013.6180288517357,951.2749632291392,901.2661240250981,801.278640220443,740.8248486348066,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1199.9137552551088,1125.6436075485426,1054.8967187590197,1052.004075778244,1049.221171096501,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1757.778794163175,1404.9567094856216,1352.1749016530352,1348.8211281283325,1341.4780778243478,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,54.9793609067747,39.34256336084161,37.620779449966456,35.71233404669151,34.895974558395636,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,55.28781878152936,26.756199718879905,26.22255355977544,26.113660652187935,25.93285375468139,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,19.008411348677015,8.76359019522609,8.515687496086958,8.480791656046861,8.4254800039412,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,14.893650695136248,6.8576067229486215,6.482052557948757,6.462046327682241,6.432179893869299,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,28.56067931884754,13.823624102232447,12.944009713572083,12.928173965648183,12.871892997694061,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,1.9111180442943247,0.9824998703706462,0.9460295301183426,0.9433538643129804,0.9366523406236573,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,41.28515884238369,28.4219798728881,27.147059785617778,23.592366262493627,20.483052229897645,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.7612808068071,13.72969278417073,12.117725538736089,9.702896984517384,8.123303067013008,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,136050.0,128926.0,127045.0,125535.0,146205.0
