,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,146273.12125274187,11000.344052697807,455.33604511535714,455.33604511535714,444.85162871494117,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,10903.309380899316,753.9437509421604,32.22286755794134,29.32062520190818,27.661995188980583,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,986.675382829462,79.92923375949808,4.462127650807011,4.1183517463617205,4.1183517463617205,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,1681.4651922729106,122.1144484838807,8.39146433470832,8.39146433470832,8.39146433470832,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,3605.118767727688,1217.5684926589688,38.86390098110932,38.86390098110932,38.86390098110932,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,170.7959822038427,58.1151801150489,3.2247588639969624,3.1010055741222846,3.1010055741222846,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,14.490828333512798,6.012013682411713,0.15309924370975464,0.15309924370975464,0.15309924370975464,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,5.0796048086654775,2.3845383962706435,0.05442172740217169,0.05442172740217169,0.05442172740217169,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,6.041144508779402,3.0588937358086494,0.09861047904586367,0.09861047904586367,0.09861047904586367,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,8.15977385341892,3.38370407839012,0.23937118966670823,0.23937118966670823,0.2297000689568089,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,0.8997996538627273,0.341716505362916,0.012856104434532403,0.012856104434532403,0.012526327353006246,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,26.544614396348116,4.763079932693362,0.20504321897467592,0.1942664512627137,0.17593409760206635,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,14.551051572835501,1.3887264708150173,0.30051509662736087,0.2859109844915393,0.27825677962545586,,,
Data,1331012.0,1331012.0,,,,148881.0,10974.0,574.0,571.0,566.0,964614.0,800395.0,681593.0
