,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,150844.44413194177,11328.10412665004,474.04977466024786,474.04977466024786,463.5653582598319
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11246.878064510032,776.6465762660619,32.8711393453436,29.96889698931044,28.31026697638285
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1013.0125182046745,82.82001381279956,4.825157943513236,4.481382039067947,4.481382039067947
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1722.2409898238698,124.29621826290673,8.441594208879712,8.441594208879712,8.441594208879712
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3699.3170823967507,1248.1536569075797,40.15744523177481,40.15744523177481,40.15744523177481
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,174.9538603327651,59.12822511327053,3.3012435820194375,3.1774902921447596,3.1774902921447596
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,15.170117643312672,6.238271716935228,0.15309924370975464,0.15309924370975464,0.15309924370975464
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.209541450995167,2.4161469541492697,0.05442172740217169,0.05442172740217169,0.05442172740217169
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.176976753587951,3.1337826122787984,0.09861047904586367,0.09861047904586367,0.09861047904586367
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,8.359882171514665,3.452695728093987,0.2433953243543902,0.2433953243543902,0.23372420364449087
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9221383158471421,0.34921165637537055,0.012856104434532403,0.012856104434532403,0.012526327353006246
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,27.249196579918056,4.864527112053886,0.21363993530699937,0.20184559020328185,0.18351323654263454
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.976049371190502,1.4329161556293535,0.30953605496335734,0.29493194282753576,0.2858200676892485
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,148881.0,10974.0,574.0,571.0,566.0
