,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_up < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147692.60436946814,136304.49018844767,132834.6055639839,132601.33912973647,132148.173919694,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11413.81840213851,10609.217804031789,10110.45880199306,8746.77975292596,7904.004175283907,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1014.1614270397423,953.7807422554288,906.6093290974247,806.500153570041,745.5699001496623,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1185.8489327976013,1112.3841367067384,1042.9417363020289,1040.1274403145721,1037.2286287518373,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1643.8902863009157,1345.010196710351,1292.8573239377358,1289.6107603579028,1281.9844920957503,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,46.77736176456973,35.45303559031993,33.56752185964895,31.880441045154186,31.260335740702928,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,59.825445406360636,29.004852246465944,28.444849727807174,28.335956820219668,28.13424163432043,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.118748906583516,9.170628434379374,8.90094676663027,8.876968236542668,8.832657438419968,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,15.698175461723068,7.210754967415761,6.821357851162244,6.801149786783084,6.76660476038299,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,30.59004187041978,14.761097732636092,13.810810475962752,13.79159203328228,13.72971000260599,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,1.9921517534616848,1.018197701892351,0.9810869833320947,0.9784113175267324,0.9709695204485502,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,42.179713043195136,28.59415022739496,27.307684644611562,23.688141581472422,20.529271774088045,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.819816210732128,13.748241177328168,12.203130761781132,9.804252490639655,8.190352998267645,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,136050.0,128926.0,127045.0,125535.0,146205.0
