,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,151907.54191383257,140198.9247960917,136635.29285545158,136397.1029188722,135919.28665915725,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,11841.66408673499,11007.829195972927,10491.273009558168,9078.875180080184,8196.34187219868,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,1045.7576452462129,984.0451740518263,936.4131872839116,831.8830574387866,768.6953455217729,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,1214.6613584275142,1139.6904915788668,1068.5726351711166,1065.624825418195,1062.7260138554602,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,1678.2193661977021,1374.9421034142906,1320.9303266537452,1317.6535633652945,1309.6651664415008,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,47.27515069261534,35.830251855743754,33.94473812507279,32.25765731057802,31.40433662624757,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,61.961733755364385,30.055578685864994,29.455413778383427,29.34652087079592,29.14480568489668,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,20.71642335492846,9.56232433316155,9.285106673900497,9.261128143812897,9.216817345690199,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,16.101226408655826,7.413077697720251,7.013427605264088,6.992187340378516,6.955234925665659,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,31.318752225892325,15.113751162928406,14.157661717309937,14.138443274629463,14.075872453333176,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,2.038789847229439,1.0440292645621243,1.0058753476944302,1.0029199139728158,0.9954781168946336,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,43.55348365628366,29.57910086521241,28.25358879013557,24.51244092113798,21.223502822676156,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,15.239649239079686,14.137826264894336,12.54958961032004,10.095050197578653,8.409973718262483,,,
Data,1331012.0,1331012.0,,,,146205.0,136050.0,128926.0,127045.0,125535.0,964614.0,800395.0,681593.0
