,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_up < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,148361.21090536632,11063.013028322868,435.2253038079106,435.2253038079106,424.74088740749465,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11503.666510979097,813.6748575970303,33.48378969477726,30.26929312009989,28.718244464435976,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1027.3666921151664,76.9154116336884,3.71238594997362,3.71238594997362,3.3875548528757133,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1805.8798529529574,130.6082715277099,8.311691354443742,8.311691354443742,8.311691354443742,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3415.2131842242934,1121.6007540621815,36.41067380850782,36.41067380850782,36.41067380850782,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,168.01245439197368,54.212414931662195,3.1083214425953805,2.9845681527207026,2.9845681527207026,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,18.968159879775097,8.19666881756432,0.17753847986754376,0.17753847986754376,0.17753847986754376,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,6.045973293109559,2.937581450789583,0.09242653381382704,0.09242653381382704,0.09242653381382704,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.605644406438831,3.397688661211478,0.13520742738325817,0.13520742738325817,0.13520742738325817,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,9.999484139229585,4.374690975256505,0.3279878977438999,0.3279878977438999,0.31757920079329205,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9693274335389408,0.37313323049422387,0.011618629060422533,0.011618629060422533,0.011618629060422533,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,28.48763104452572,5.452793922862586,0.25947680555211766,0.2391634449139962,0.22472119345406638,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,15.303018259276625,1.4913356927395005,0.2956144164105973,0.2817547658111198,0.27253770806896455,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,10974.0,574.0,571.0,566.0,148881.0
