,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,150683.81785096406,11307.825366227113,474.04977466024786,474.04977466024786,463.5653582598319,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,11222.783536003215,774.7886683185075,32.79000020260568,29.88775784657252,28.229127833644924,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,1009.8654704438957,82.36983638917621,4.825157943513236,4.481382039067947,4.481382039067947,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,1719.6299311998848,124.24020624555007,8.441594208879712,8.441594208879712,8.441594208879712,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,3693.1239769498934,1246.8022601058342,40.0988775269375,40.0988775269375,40.0988775269375,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,174.5112397606958,59.09789225062329,3.3012435820194375,3.1774902921447596,3.1774902921447596,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,15.079548404524575,6.208696683365416,0.15309924370975464,0.15309924370975464,0.15309924370975464,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,5.172884700993567,2.4046126816010527,0.05442172740217169,0.05442172740217169,0.05442172740217169,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,6.182883347923769,3.1343356075789464,0.09959148288923124,0.09959148288923124,0.09959148288923124,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,8.348636357333678,3.453857437774044,0.24262315610066823,0.24262315610066823,0.23295203539076886,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,0.9215487225413388,0.3484577746043517,0.012856104434532403,0.012856104434532403,0.012526327353006246,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,27.223829198856773,4.8586073857775105,0.21363993530699937,0.20184559020328185,0.18351323654263454,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,14.930475419075693,1.4281716451248143,0.30878594614740107,0.2941818340115795,0.28506995887329223,,,
Data,1331012.0,1331012.0,,,,148881.0,10974.0,574.0,571.0,566.0,964614.0,800395.0,681593.0
