,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_down < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147391.77489536133,11194.210487070004,302.0166054987114,302.0166054987114,302.0166054987114,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11454.766285234835,810.9399751915882,34.506717447244526,31.347313464102225,29.9344157442723,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1028.239355855719,60.630303589136574,3.343629763401064,3.343629763401064,2.671426021404673,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1182.6510577610475,73.33443085415398,5.400076476323581,5.400076476323581,5.400076476323581,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1594.8641012905177,279.2504689532191,8.89176564971341,8.89176564971341,8.89176564971341,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,43.848057154100914,9.88999920294985,0.43564166900259804,0.43564166900259804,0.43564166900259804,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,61.05454860302809,31.472303537425702,0.5971373832752436,0.5971373832752436,0.5971373832752436,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.542045701341742,11.308767649048983,0.3071290379882618,0.3071290379882618,0.3071290379882618,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,15.971906374460577,8.63641125601474,0.49540800337933916,0.4940999949667674,0.4940999949667674,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,31.227931743994503,16.173645097540767,1.1811590494221105,1.1801415423840775,1.1702818989453962,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.020319696980667,0.9868485091580017,0.03527212490453243,0.03527212490453243,0.034975875359803364,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,42.55854542591239,13.804206779597939,0.5684586857042169,0.5197716190083999,0.47282896392641843,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.897512323603722,1.0817250192264924,0.16540296730945128,0.15078142280969975,0.14319350740284867,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,10155.0,514.0,509.0,509.0,146205.0
