,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,146984.96896734118,11302.49395467823,356.4376984611937,356.4376984611937,356.4376984611937,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,11432.47364141435,805.8540008671612,34.16861848988968,31.013228377902088,29.493803265974837,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,1015.3863855036107,60.62320508236106,3.356377380773341,3.356377380773341,2.6841736387769504,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,1185.0182013933108,73.07054318017256,6.340799270195208,6.340799270195208,6.340799270195208,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,1629.1504758140122,293.52761767242504,10.070703468952757,10.070703468952757,10.070703468952757,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,45.943519980019545,10.973085726484364,0.48616688795535856,0.48616688795535856,0.48616688795535856,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,59.941016270736824,30.834114364122698,0.5274405805266331,0.5274405805266331,0.5274405805266331,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,20.193897943680792,10.982887540621402,0.3077832783774024,0.3077832783774024,0.3077832783774024,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,15.726670193031126,8.519686373511984,0.4753754102499578,0.474067401837386,0.474067401837386,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,30.592841400838203,15.825893535174213,1.1726994701434976,1.1716819631054647,1.1652239026403128,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,1.9940781506780934,0.9740415034921532,0.036217100334453065,0.036217100334453065,0.035920850789724006,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,42.33178855717425,13.628627299363988,0.5656657912766975,0.5181500376932973,0.4724115883730989,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,14.762686420380229,1.0588003956252032,0.14931021244539855,0.134688667945647,0.12659461747931516,,,
Data,1331012.0,1331012.0,,,,146205.0,10155.0,514.0,509.0,509.0,964614.0,800395.0,681593.0
