,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,151907.54191383257,11708.617117740849,377.5176755578681,377.5176755578681,377.5176755578681,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,11841.66408673499,833.8348907620691,35.324606234107456,32.08048511131736,30.34671382768338,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,1045.7576452462129,61.71247119438647,3.4020993151274155,3.4020993151274155,2.729895573131024,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,1214.6613584275142,74.97086684864749,6.417666039089885,6.417666039089885,6.417666039089885,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,1678.2193661977021,303.2772627834115,10.395565419370874,10.395565419370874,10.395565419370874,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,47.27515069261534,11.444898836871578,0.48616688795535856,0.48616688795535856,0.48616688795535856,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,61.961733755364385,31.90615506949939,0.6012270968334721,0.6012270968334721,0.6012270968334721,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,20.71642335492846,11.15409902176691,0.3077832783774024,0.3077832783774024,0.3077832783774024,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,16.101226408655826,8.688148710935575,0.4893192138747723,0.48801120546220056,0.48801120546220056,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,31.318752225892325,16.20500106296392,1.1944999078742975,1.1934824008362646,1.1870243403711125,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,2.038789847229439,0.9947605826673145,0.03683052291147232,0.03683052291147232,0.03653427336674326,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,43.55348365628366,13.974382791071244,0.584122735747926,0.5358825740645203,0.4893395451482236,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,15.239649239079686,1.1018229741853474,0.15136507035805447,0.13674352585830293,0.1290776988423671,,,
Data,1331012.0,1331012.0,,,,146205.0,10155.0,514.0,509.0,509.0,964614.0,800395.0,681593.0
