,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_down < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,150808.53310274763,11378.167724909032,517.5596478828413,517.5596478828413,507.0752314824254,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11300.35541582158,779.1580838552452,33.21163313617926,30.25127589977273,28.592645886845137,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1016.4625186235497,82.99897025293888,5.0264784956511175,4.654743220656885,4.654743220656885,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1704.865187505587,123.43557499572051,8.53518303422935,8.53518303422935,8.53518303422935,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3676.538769133589,1238.092331217034,39.84815214299961,39.84815214299961,39.84815214299961,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,174.2190293253983,59.02247699717271,3.3012435820194375,3.1774902921447596,3.1774902921447596,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,14.917343023570353,5.987520391211301,0.15309924370975464,0.15309924370975464,0.15309924370975464,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.140304976340895,2.372020064980685,0.06794201060347177,0.06794201060347177,0.06794201060347177,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.1106776331246495,3.105268564821669,0.09856541291867693,0.09856541291867693,0.09856541291867693,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,8.252679007598928,3.404994674150299,0.23368441255031147,0.23368441255031147,0.2240132918404121,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9185203319051042,0.34944400335119,0.013501964447557545,0.013501964447557545,0.013172187366031391,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,27.242136570442657,4.836575005431838,0.21296280337593615,0.20116845827221863,0.185531468399885,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,15.076807340051662,1.4369378174942151,0.3056798225702124,0.2910757104343908,0.2819638352961036,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,10974.0,574.0,571.0,566.0,148881.0
