,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_down < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,151512.6159809805,11332.19949095044,510.4200651127291,510.4200651127291,499.93564871231314,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11145.086716154981,762.6498554370339,32.577088605173344,29.696423505820412,28.085541022429034,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,988.4110038577733,78.89365059311712,4.438373039590018,4.066637764595786,4.066637764595786,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1692.0274265933815,121.26756379207713,9.272301621637826,9.272301621637826,9.272301621637826,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3781.448221558002,1280.775287589499,41.5003464859862,41.5003464859862,41.5003464859862,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,174.32085895985517,60.24332697536782,3.063602279213385,2.9398489893387065,2.9398489893387065,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,14.377207740781394,5.760244930516601,0.08340244096114408,0.08340244096114408,0.08340244096114408,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.00416520314022,2.1684473627509426,0.05507596779131227,0.05507596779131227,0.05507596779131227,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.017108158495771,3.0474610163910816,0.07806231478192886,0.07806231478192886,0.07806231478192886,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,7.901763428964934,3.1751330811463716,0.23244955233959194,0.23244955233959194,0.22618001460322187,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.912677450707106,0.34424217962400383,0.013799726163135177,0.013799726163135177,0.013469949081609024,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,27.025494691073195,4.753410214441596,0.22306439729366484,0.211005195433266,0.1926038800168538,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.830223967607774,1.4386253929006143,0.3030822118403612,0.2884780997045396,0.2788600895067716,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,10974.0,574.0,571.0,566.0,148881.0
