,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_down < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,151512.6159809805,140180.41649003007,136250.223535487,136059.12653867571,135495.66745230067,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11145.086716154981,10382.436860717944,9889.55302339973,8725.004318503903,7872.801030830944,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,988.4110038577733,909.5173532646562,864.7155839522388,788.406765117675,721.374533053513,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1692.0274265933815,1570.7598628013043,1484.7145920497862,1481.0732927295885,1476.8768914019663,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3781.448221558002,2500.672933968503,2416.9667557523803,2410.699213144786,2401.0364660935525,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,174.32085895985517,114.0775319844874,108.25993905922391,101.86669954722758,97.33185303908792,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,14.377207740781394,8.616962810264791,8.274323770971458,8.274323770971458,8.203568659218668,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.00416520314022,2.835717840389276,2.772701309749719,2.7476275842630047,2.727658345988374,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.017108158495771,2.969647142104689,2.8640850671489178,2.8492693726462006,2.830241078101488,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,7.901763428964934,4.726630347818562,4.431408157765546,4.413607912061613,4.391516942130973,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.912677450707106,0.5684352710831022,0.5514260612197104,0.5502526642309029,0.5465291297170458,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,27.025494691073195,22.272084476631605,21.293248023608125,18.475907149193898,16.266019837477643,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.830223967607774,13.391598574707157,11.61595364545386,9.46109301149962,8.024661966238277,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,137907.0,130877.0,129236.0,127724.0,148881.0
