,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_up < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,150800.7733824194,11299.473270291619,462.2328976013174,462.2328976013174,451.74848120090144,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11190.585771758886,772.5195906451328,32.627373993966614,29.793632852361327,28.13500283943373,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1011.4298895128676,82.6976108989171,4.878715085527961,4.534939181082672,4.534939181082672,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1740.7622448680875,125.1087723264109,8.58638762733815,8.58638762733815,8.58638762733815,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3718.276407809636,1258.2412963040888,40.55346388592214,40.55346388592214,40.55346388592214,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,176.46882323383696,59.45058346173637,3.3012435820194375,3.1774902921447596,3.1774902921447596,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,15.324699893557607,6.300204539427012,0.15309924370975464,0.15309924370975464,0.15309924370975464,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.29691464876618,2.4397523760379896,0.05442172740217169,0.05442172740217169,0.05442172740217169,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.2260942879434324,3.1846213113968282,0.09816313520297901,0.09816313520297901,0.09816313520297901,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,8.40209655543468,3.469061100234175,0.2446978549652907,0.2446978549652907,0.2350267342553913,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9265199799601623,0.35093461328707565,0.012733250174724375,0.012733250174724375,0.012403473093198222,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,27.222122484627214,4.893965683654913,0.21921039995712172,0.20475699978692424,0.1864246461262769,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.88936467220745,1.4293558634136392,0.3086490212781289,0.2940449091423073,0.28493303400402004,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,10974.0,574.0,571.0,566.0,148881.0
