,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.1256827931647783,0.0878020549427385,0.0876609076288805,0.08726349646706154,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.09232703137622433,0.0639140161641519,0.06381276618933542,0.06351530058559401,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.0661521470053988,0.04494042840651703,0.04484059809150458,0.04454754135340557,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.15562419946084755,0.10727502101337807,0.10700802159756159,0.1063612896911584,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.0017695347459533526,0.0013419399500288831,0.0013361305911706123,0.0013300333668209432,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,1.9905436394453866,1.512343223289641,1.5096207616963346,1.5047446419413928,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,3.331346748078311,2.5517133946706543,2.547037283359389,2.537745247907496,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.0010603935569584947,0.000738687434128437,0.0007385460388405899,0.0007299160683922673,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,1.8544515733516724,1.4135985653913539,1.4112222800161365,1.405808744287817,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.006596803858229755,0.0048171381368471225,0.004803518066301454,0.00477563552156471,
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,91.24064688752242,17.850535761085194,17.850535761085194,17.850535761085194,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,23.468525862557875,4.407891227947085,3.6213798692012977,3.541390610042624,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,2.155139420880649,0.6894987125411937,0.6894987125411937,0.6894987125411937,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,6.392730780486273,1.2524194223850007,1.2524194223850007,1.2524194223850007,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,4.380408219840405,2.070541617076098,2.070541617076098,2.070541617076098,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.0,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.024252820861501566,0.024252820861501566,0.024252820861501566,0.024252820861501566,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.017711095220453995,0.011562703181241899,0.011562703181241899,0.011562703181241899,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.029044137602138913,0.02202064683678028,0.02202064683678028,0.02202064683678028,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.00030025275135366324,0.00028610063665912794,0.00028610063665912794,0.00028610063665912794,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.10583625887167554,0.047337998246527686,0.044552068481746726,0.0416993825129786,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.1560704979667644,0.35052862835820553,0.34646116160863516,0.33171953125480635,
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,,45.0,44.0,41.0,205.0
