,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.09817265630756865,0.06718845032026208,0.062101145694333455,0.06200957378062879,0.06174959050261146
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.06938162295111827,0.04799105485851574,0.04336202564032152,0.043325660316235484,0.0431344472879115
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.050027968594066566,0.03303874292897283,0.03022885702102872,0.03022885702102872,0.030093971643377085
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.11418924173201928,0.07715350716521238,0.07040800846138179,0.07020933207591558,0.07002825933729785
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.0016141058959610187,0.0011310786746343703,0.0007067249017113612,0.0007047389285986824,0.0006957965579452163
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,1.2964373261835322,0.9754149239564797,0.45359118453772557,0.4525481924212381,0.4507098801868474
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,2.1577130144216197,1.6142588282224561,0.7702194079483571,0.7687190227028247,0.7659179221259063
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0008948849313396435,0.000602413088124741,0.0003748199478273629,0.00037253412151905317,0.00037253412151905317
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,1.1965652019954538,0.8979829091491578,0.40873230453316406,0.4078929492151951,0.4065225238862808
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.004946915585474019,0.00350508060426216,0.0022881524519405734,0.0022881524519405734,0.002272879047874063
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,107.90450792392356,21.8250531415681,21.8250531415681,21.8250531415681,21.8250531415681
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,29.60625159862108,5.50901606449798,5.414423349986801,4.722066271510907,4.242030747972153
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,3.3058036147853076,0.6515245689484095,0.6515245689484095,0.6515245689484095,0.6515245689484095
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,6.382374563298713,0.3584676495434992,0.3584676495434992,0.3584676495434992,0.3584676495434992
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,4.05263155691451,1.9590271740024,1.9590271740024,1.9590271740024,1.9590271740024
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.28002666601210957,0.0,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,0.0
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,0.0
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.01138130942536052,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.001667555224918355,0.0011226072283970592,0.0011226072283970592,0.0011226072283970592,0.0011226072283970592
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.0850921378047692,0.03705128039636061,0.03705128039636061,0.03337433370230909,0.029426987127381544
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,1.0191424240463092,0.27960948569052385,0.26182743292202143,0.2462682276824009,0.23512054326433046
Data,1331012.0,1331012.0,1331012.0,1331012.0,357.0,63.0,61.0,61.0,61.0
