,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.09780665350525565,0.0670100938096965,0.06192278918376788,0.061831217270063216,0.061552076526008546,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.06936533366662499,0.048008867594664106,0.04337983837646989,0.043343473052383855,0.04315226002405986,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.05030480070669484,0.033160994489631335,0.030301770642066916,0.030301770642066916,0.030166885264415286,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.11436295771484312,0.07741122578940485,0.07066572708557425,0.07046705070010806,0.0702859779614903,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.0016205174460322326,0.0011326729130242317,0.0007102060661687999,0.0007082200930561208,0.0006992777224026549,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,1.2950155356707285,0.9742287976778277,0.45241604354335085,0.4513730514268634,0.4495347391924727,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,2.153745726106114,1.6106218309713303,0.7674435136502806,0.7658273818328997,0.7630262812559813,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0008985117379149612,0.0006025247366945605,0.000377302649678915,0.00037501682337060514,0.00037501682337060514,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,1.1959700322707487,0.897683573646253,0.4085523577618952,0.40771300244392616,0.40634257711501204,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.004906658744283624,0.0034784846384975122,0.0022615564861759255,0.0022615564861759255,0.0022462830821094147,
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,107.90450792392356,21.8250531415681,21.8250531415681,21.8250531415681,21.8250531415681,
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,29.61926179449611,5.45990760036676,5.36531488585558,4.7245422806207635,4.24450675708201,
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,3.5987493350581463,0.6515245689484095,0.6515245689484095,0.6515245689484095,0.6515245689484095,
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,6.473620599343083,0.3584676495434992,0.3584676495434992,0.3584676495434992,0.3584676495434992,
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,4.05263155691451,1.9590271740024,1.9590271740024,1.9590271740024,1.9590271740024,
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.28002666601210957,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.01138130942536052,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0013206880274466062,0.0007757400309253103,0.0007757400309253103,0.0007757400309253103,0.0007757400309253103,
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.08569955113748999,0.03705128039636061,0.03705128039636061,0.03337433370230909,0.029426987127381544,
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,1.0214564203868923,0.2818679706402468,0.26408591787174446,0.24852671263212386,0.2373790282140535,
Data,1331012.0,1331012.0,1331012.0,1331012.0,,63.0,61.0,61.0,61.0,357.0
