,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.0917069850409113,1.0781356268307336,0.011009117010780157,0.005530963961569239,0.005530963961569239,0.005530963961569239,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7910546533336967,0.7830650557850098,0.010063768404993526,0.00546646980757836,0.00546646980757836,0.0054618181055827416,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8295842026069971,0.8209061063174796,0.0070220712350087195,0.0038024510060868546,0.0038024510060868546,0.0038024510060868546,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4101042999942586,1.390663224347363,0.014007774636023812,0.007897251538764893,0.007897251538764893,0.007897251538764893,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02130646456807585,0.021064324561273218,0.0013018053030262361,0.0006977287976035978,0.0006977287976035978,0.0006881630596737296,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.96606943523112,10.92642042184287,2.056058039933967,1.2394650838141121,1.2377141316975537,1.2342912879540568,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.42754518001746,18.356068000148724,3.3346927655211913,1.9898903408103934,1.986228927077799,1.9803789279977164,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.02124839594879495,0.021033610058694998,0.0006575180682451898,0.0003730958588426982,0.0003730958588426982,0.0003730958588426982,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.910018440163697,9.879815192310277,1.9440118991314719,1.1663493413956214,1.1645635529441483,1.1615853560056408,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.055519657883855295,0.05485418505523361,0.003829056646988082,0.0019657643222714648,0.0019657643222714648,0.001957553931641937,,
QCD,900603.372757249,1219440.0804636534,1195253.18073095,1177719.865509848,7.71705682833504,6.049274062699175,6.049274062699175,6.049274062699175,,
TT,76537.02908224265,76537.02908224265,75455.8672753345,74346.61812260182,2.999016999001345,0.26235626208860474,0.17590585443471063,0.17590585443471063,,
ST,6617.229257123121,6617.229257123121,6513.894336293484,6437.416751030387,0.262844709582459,0.0,0.0,0.0,,
W+Jets,12421.273275458932,12421.273275458932,12242.321861551814,12084.680852048914,0.8767605906549117,0.0,0.0,0.0,,
Z+Jets,14717.02364266734,14717.02364266734,14468.821057932211,14291.993481946272,0.0641416456478138,0.0,0.0,0.0,,
Diboson,703.6912877316817,703.6912877316817,693.0662177097603,685.7998823459604,0.0,0.0,0.0,0.0,,
ggFHbb,138.81856362723408,138.81856362723408,137.1939721773011,135.31119077640614,0.0,0.0,0.0,0.0,,
VBFHbb,40.60062332311162,40.60062332311162,40.24272494114581,39.87078912776376,0.0,0.0,0.0,0.0,,
ZHbb,38.56092725636813,38.56092725636813,38.05426925581597,37.73628835069991,0.0,0.0,0.0,0.0,,
WHbb,66.232275837835,66.232275837835,65.32166411216625,64.87958091280734,0.0,0.0,0.0,0.0,,
ggZHbb,5.921431593700421,5.921431593700421,5.849255584936747,5.77720182418215,0.0,0.0,0.0,0.0,,
ttHbb,187.9810602386041,187.9810602386041,185.57110999047728,183.10434371442994,0.006165574380285853,0.0,0.0,0.0,,
HWW,97.55810924622651,97.55810924622651,96.30840345343226,94.86719745065234,0.12565653995308684,0.022886908957980946,0.02164348178097288,0.01978289958424393,,
Data,1331012.0,1331012.0,,,33.0,3.0,3.0,3.0,1331012.0,1331012.0
