,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.671413160994866,1.6672065519826909,0.5422142710751533,0.5412536831610107,0.5379281792438709,,
QCD,1117757.9198795073,1251971.716351885,1247569.2563443747,1244241.2895729458,989736.0339917237,988054.3720826099,983183.3033882763,,
TT,114729.52068857195,114729.52068857195,114309.11741675786,113880.99428785002,91412.34983140593,81284.04682530418,71474.08036110841,,
ST,9991.097357360093,9991.097357360093,9952.550898761065,9922.252662966415,8020.846786832543,7242.47438428238,6471.929703807604,,
W+Jets,14710.822213085146,14710.822213085146,14670.207513918298,14635.076456643055,12108.838399703183,12076.535773211412,12029.706147671548,,
Z+Jets,21597.004857058182,21597.004857058182,21520.342568735658,21471.347787777064,12023.569217965494,11994.457313528306,11915.741935002157,,
Diboson,936.1606241609028,936.1606241609028,934.1584206040213,932.1822112933119,534.6092216299232,506.42819122678674,475.88239467974483,,
ggFHbb,224.56874142701201,224.56874142701201,224.02968880433406,223.30598847245,70.83148709640227,70.68955069821169,70.1013363199623,,
VBFHbb,66.27722451912622,66.27722451912622,66.12891712313305,65.94436262293111,19.900073021141623,19.820934201014975,19.64724935762601,,
ZHbb,63.465766584473805,63.465766584473805,63.32995290467089,63.23930009367292,19.09954827141606,19.052743817142993,18.863346215407326,,
WHbb,108.86564442012758,108.86564442012758,108.64337241312307,108.51513014986577,36.555015543916646,36.47442016401767,36.2132907420161,,
ggZHbb,9.5080271296301,9.5080271296301,9.480593256960656,9.454908466117434,3.8164467302623306,3.8026476991871627,3.7662480603342363,,
ttHbb,312.2634270090423,312.2634270090423,311.08860162114195,309.8926151597943,196.0629555600396,172.40457182597538,149.01188704349374,,
HWW,150.72907678953348,150.72907678953348,150.1141335814762,149.4108853239785,120.542822973955,99.56394823650814,81.62483262115964,,
Data,1414872.0,1414872.0,,,1147439.0,1132804.0,1116698.0,1414872.0,1414872.0
