,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.6666139971059066,1.6591154859894288,0.028851892450123914,0.01455907466318897,0.014507927844379886,0.014507927844379886,,
QCD,1117757.9198795073,1251971.716351885,1243348.6381278953,1237229.9947820366,17.945008817571654,0.9479854870513743,0.9479854870513743,0.9479854870513743,,
TT,114729.52068857195,114729.52068857195,114029.4683025561,113319.76404047944,5.798795801912014,0.6058845979325174,0.6058845979325174,0.6058845979325174,,
ST,9991.097357360093,9991.097357360093,9922.140634086192,9871.37221638479,1.3270895761658708,0.0,0.0,0.0,,
W+Jets,14710.822213085146,14710.822213085146,14632.074465297448,14569.755961664541,1.3240541277111542,0.09506311296715518,0.09506311296715518,0.09506311296715518,,
Z+Jets,21597.004857058182,21597.004857058182,21453.74146222078,21367.30115930057,0.8149782493388988,0.32772047717289904,0.32772047717289904,0.32772047717289904,,
Diboson,936.1606241609028,936.1606241609028,930.7571638443397,927.5041399569494,0.0,0.0,0.0,0.0,,
ggFHbb,224.56874142701201,224.56874142701201,223.62056769434213,222.51728560123743,0.0,0.0,0.0,0.0,,
VBFHbb,66.27722451912622,66.27722451912622,66.00733631376538,65.66476989295606,0.0313406363497363,0.0,0.0,0.0,,
ZHbb,63.465766584473805,63.465766584473805,63.16347309829043,62.98984926782434,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,,
WHbb,108.86564442012758,108.86564442012758,108.37346398025522,108.13532762314294,0.0066932442039737625,0.0038431623322436274,0.0038431623322436274,0.0038431623322436274,,
ggZHbb,9.5080271296301,9.5080271296301,9.45631134146326,9.41204558779923,0.00024366724863733052,0.0,0.0,0.0,,
ttHbb,312.2634270090423,312.2634270090423,310.20534812719706,308.225452629239,0.008785657593391342,0.0024124437817986334,0.0024124437817986334,0.0024124437817986334,,
HWW,150.72907678953348,150.72907678953348,149.74304835468368,148.6507210554542,0.2812771204808927,0.04679101711101491,0.04414270408692401,0.04239937920902053,,
Data,1414872.0,1414872.0,,,61.0,7.0,7.0,6.0,1414872.0,1414872.0
