,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.19630966424792626,0.136825798433665,0.12363149088931112,0.12343689675986212,0.1228069267092003,
QCD,1117757.9198795073,1251971.716351885,1247814.9781850395,1244750.07933536,223.62802457713192,29.89595475654882,29.203164922575088,29.203164922575088,29.203164922575088,
TT,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,50.726014025959515,9.615528152129011,9.564938686333043,8.150139055935876,7.849692360609269,
ST,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,5.51447439453527,1.0513281373563417,1.0513281373563417,1.0513281373563417,1.0019694498900742,
W+Jets,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,10.959674840925114,2.230065857324241,2.230065857324241,2.230065857324241,2.230065857324241,
Z+Jets,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,7.244117636319952,3.46597281948399,3.399556708714086,3.3164489010002107,3.3164489010002107,
Diboson,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.28001420954562,0.0,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.036758875733498654,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,
VBFHbb,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.00781540855142399,0.007053118410133913,0.007053118410133913,0.007053118410133913,0.007053118410133913,
ZHbb,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.022071832626725275,0.0130559545392283,0.011684104178746036,0.011684104178746036,0.011684104178746036,
WHbb,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.05929071156201936,0.040816315329994725,0.039056077647562436,0.039056077647562436,0.039056077647562436,
ggZHbb,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.002342396040992106,0.0015841152410483114,0.0015841152410483114,0.0015841152410483114,0.0015841152410483114,
ttHbb,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.1776860394799551,0.058960129043554556,0.05654768526175592,0.05101433461502551,0.05101433461502551,
HWW,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.7803384162462441,0.5395625114592932,0.5020168096417176,0.49176037188924193,0.4689439512130201,
Data,1414872.0,1414872.0,1414872.0,1414872.0,,97.0,95.0,92.0,89.0,479.0
