,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.666859179111984,14.639694914964442,14.632642071239111,12.008715200872015,4.489310782254178,2.340550855587981,2.335778419013127,2.326738486526188,,,
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,168785.87543030022,155919.7322355734,151988.17543730885,151746.7960803164,151161.45152257354,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,13845.892686476673,12873.06593446073,12271.17563299603,10638.503505504472,9587.804223074461,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,1211.5948638467207,1140.0120954147715,1083.74269182768,963.3809413891854,890.1746445871561,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,1358.667839898914,1275.6043654267562,1195.4414816722583,1192.2365228007036,1188.9147188409906,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,1834.9634338894202,1519.751586686925,1460.569556699939,1456.9445756377177,1448.0171904758126,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,50.719030557265334,39.16792199642868,37.1057685905421,35.261397520989185,34.28734470928988,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,66.79086313006576,32.5184913550344,31.87227103629932,31.748797753831482,31.523639378023486,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,22.279771617785162,10.309125394485438,10.01832724367641,9.983431403636313,9.928119751530652,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,17.3632250666691,8.026488058658304,7.596658061935871,7.5720258898714246,7.531075504252776,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,33.89591424256424,16.388817410357678,15.359549272156883,15.335841139237402,15.268689671189138,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,2.2178270247600467,1.147592387247373,1.1051534718874483,1.1021980381658336,1.094478960337743,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,49.53713440345615,34.156881295966,32.63792516777717,28.360221710909556,24.59763499256211,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,17.559060088061337,16.316220369693976,14.468300427180363,11.62526295910075,9.720802183975064,,,
Data,1331012.0,1331012.0,,,,162980.0,151563.0,143636.0,141513.0,139793.0,964614.0,800395.0,681593.0
