,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_down < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,1.8528552840694592,0.899143537624696,0.4717133154043085,0.47062987286135827,0.46767350786379525,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,167868.6552362613,155038.24932054174,150504.387928204,150222.92106229212,149591.47383465437,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13367.414921089137,12441.94016497006,11845.865338187727,10570.989119203841,9524.33081107917,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1156.8562586530138,1061.8665919997234,1014.8656001415058,932.6812876377386,852.0275647004654,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2100.218579253634,1945.7809692752858,1842.1251723303985,1837.1990830974037,1832.4657574530358,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,4310.9388846164675,2838.75373674457,2742.855173966535,2735.6981142164823,2725.7610810084084,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,208.8124022713942,139.31787529150768,132.5406230587538,125.14539347463919,119.49975285566573,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,11.012405116677433,7.299521166486573,6.991596285105942,6.991596285105942,6.912889149586546,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,4.064198564684529,2.2049196095830084,2.17949221162316,2.154418486136446,2.1454501018447774,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,5.588995452047936,2.8519748008779917,2.7513177745112603,2.733074542630545,2.715440303184142,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,6.286457488992621,4.063507191245846,3.805079111178325,3.793976143336623,3.774328087349449,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9052147936175345,0.5835986576249942,0.5668476342647939,0.5650398379628258,0.5611194479951871,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,29.51609651638258,25.14062333892945,24.06099064887374,21.06152928334413,18.54693515807745,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.652526376794967,15.931203184508504,13.792230212999735,11.392602784760761,9.631169419062038,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,154639.0,146669.0,144879.0,143092.0,166982.0
