,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.661712998978118,14.629831302332667,14.622636637998827,1.9683476759211136,1.0269352984572921,0.5040143658726591,0.503509637514511,0.5021549687063499,,,
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,162436.4767972718,12352.908699391846,414.4552231963937,414.4552231963937,403.97080679597775,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,13091.616742047296,914.3380877790892,39.35501861417998,36.51156406684551,34.81353709892419,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,1138.1349521931936,89.57593150852679,4.270414261683333,3.898678986689102,3.898678986689102,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,2075.48625451895,155.87518895055294,10.083633025390203,10.083633025390203,10.083633025390203,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,4100.290748008606,1389.4231720555315,43.529073658831535,43.529073658831535,43.46188191111048,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,202.73114805196778,67.03172240895519,3.305219682884144,3.181466393009466,3.181466393009466,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,11.349010343624755,4.135143347931363,0.06097094625366988,0.06097094625366988,0.06097094625366988,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,4.036097975637709,1.7794205503809497,0.05983853733230919,0.05983853733230919,0.05983853733230919,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,5.577840894481039,2.7608092079019206,0.072200632956667,0.072200632956667,0.072200632956667,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,6.605188182131032,2.4095339883649673,0.14750999510396637,0.14750999510396637,0.1449488335182102,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,0.8889372223713262,0.3152684859316407,0.011691041462919861,0.011691041462919861,0.011361264381393704,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,29.088991028377784,4.441122566959384,0.1977720449370102,0.18568147072407448,0.16838355643076097,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,17.280150935611534,1.6695629602118318,0.35004095896225784,0.3307500364000725,0.31713588559115213,,,
Data,1331012.0,1331012.0,,,,166982.0,12343.0,641.0,635.0,628.0,964614.0,800395.0,681593.0
